[3.82s -> 47.10s]  МУЗЫКАЛЬНАЯ ЗАСТАВКА
[47.10s -> 55.10s]  Здравствуйте, дорогие друзья! Рад видеть здесь столько умных и красивых людей!
[55.10s -> 65.02s]  Арт-механика с Владом Маленко! Начинаем!
[65.02s -> 70.02s]  Ну а теперь, друзья, с превеликим удовольствием хочу представить вам мою соведущую.
[70.02s -> 78.02s]  Она же барменша, она же пейтеса, но не та, которая рифмует кровь, морковь, любовь,
[78.02s -> 85.02s]  а та, которая скорее, знаете, так в духе времени, абьюз, арбуз. Впрочем, с арбузом мы уже немножко опоздали.
[85.02s -> 87.02s]  Итак, Олечка!
[87.02s -> 93.02s]  Налью себе мускатного вина, а дальше все пройдет легко и гладко.
[93.02s -> 99.02s]  Пусть не тревожит вас, что я умна, я тщательно скрываю недостатки.
[99.02s -> 107.22s]  Ах, Ольга! Друзья, а теперь интрига.
[107.22s -> 113.22s]  Постарайтесь догадаться, кто же сегодня будет у нас в гостях.
[113.22s -> 124.22s]  Итак, это песни вашей молодости, если вы родились в 2010 году.
[124.22s -> 127.22s]  Кто-то уже тянет руки в зале, между прочим.
[127.22s -> 137.22s]  Они братья, но не знают ничего ни о просковье, ни о дрессированных тиграх, ни о хлопанье ресниц.
[137.22s -> 144.22s]  Они поют пацанские песни, но не сидели.
[144.22s -> 150.22s]  По статистике, под их песней часто лишаются юности.
[150.22s -> 154.22s]  Ваши аплодисменты, если вы догадались, конечно.
[154.22s -> 159.22s]  Группа САПРО!
[159.22s -> 162.22s]  Привет всем, привет, привет.
[162.22s -> 165.22s]  Спасибо за такой прием, очень приятно.
[165.22s -> 172.22s]  Мы слушали, я подумал, что, наверное, под нашу музыку многие приобретали юность, и мы в том числе.
[172.22s -> 174.22s]  И я тогда приобрету, буду слушать.
[174.22s -> 175.22s]  Давайте.
[175.22s -> 178.22s]  Ну что, споем? Готовы?
[178.22s -> 180.22s]  Мы сегодня здесь для этого.
[193.06s -> 195.06s]  Время плюс моё на стене.
[195.06s -> 198.06s]  Знает целый двор о тебе и обо мне.
[198.06s -> 201.06s]  Наблюдая с высоты, виден целый мир.
[201.06s -> 204.06s]  Суета, но на крыше мой совсем одни.
[204.06s -> 207.06s]  Маленькие люди, но огромные мечты.
[207.06s -> 210.06s]  Маленькое сердце ждёт большой любви.
[210.06s -> 213.06s]  Но ты не спеши, время не гони.
[213.06s -> 216.06s]  И запомни этот миг на крыше.
[216.06s -> 218.06s]  Городские домов.
[218.06s -> 221.06s]  Выпятались от лишних глаз.
[221.06s -> 225.06s]  Я целовал тебя тогда в свой первый раз.
[227.06s -> 228.06s]  На крыше.
[228.06s -> 230.06s]  Городские домов.
[230.06s -> 233.06s]  Выпятались от лишних глаз.
[233.06s -> 237.06s]  Я целовал тебя тогда в свой первый раз.
[241.20s -> 243.20s]  А завтра снова я проснусь один.
[243.20s -> 246.20s]  Я жду тебя, хотя есть миллион других.
[246.20s -> 249.20s]  Буду вновь искать тебя среди толпы.
[249.20s -> 252.20s]  И будто я не я, и будто разделился мир.
[253.20s -> 255.20s]  А хочешь, просто помолчи.
[255.20s -> 258.20s]  А хочешь, я приду к тебе, астоключи.
[258.20s -> 260.20s]  Мы сами нарисуем жизнь.
[260.20s -> 263.20s]  Где-то то есть насчёт причин.
[263.20s -> 264.20s]  На крыше.
[264.20s -> 266.20s]  Городские домов.
[266.20s -> 269.20s]  Выпятались от лишних глаз.
[269.20s -> 273.20s]  Я целовал тебя тогда в свой первый раз.
[275.20s -> 276.20s]  На крыше.
[276.20s -> 278.20s]  Городские домов.
[278.20s -> 281.20s]  Выпятались от лишних глаз.
[281.20s -> 285.20s]  Я целовал тебя тогда в свой первый раз.
[289.20s -> 291.20s]  Годами стали мы ещё сильнее.
[291.20s -> 294.20s]  Мне благодарен Бог и ещё судьбе.
[294.20s -> 297.20s]  Я настоящий и моя любовь к тебе.
[297.20s -> 300.20s]  Ровно такая же, как самый первый день.
[300.20s -> 303.20s]  Годами стали мы ещё сильнее.
[303.20s -> 306.20s]  Я примечу куст даже на одном крыле.
[306.20s -> 308.20s]  Найду дорогу даже в темноте.
[308.20s -> 310.20s]  Чтобы снова о любви сказать.
[311.20s -> 312.20s]  На крыше.
[312.20s -> 314.20s]  Городские домов.
[314.20s -> 317.20s]  Выпятались от лишних глаз.
[317.20s -> 321.20s]  Я целовал тебя тогда в свой первый раз...
[323.20s -> 324.20s]  На крыше.
[324.20s -> 326.20s]  Городские домов.
[326.20s -> 329.20s]  Выпятались от лишних глаз.
[329.20s -> 333.20s]  Я целовал тебя тогда в свой первый раз.
[335.20s -> 336.20s]  На крыше.
[336.20s -> 338.20s]  Городские домов.
[338.20s -> 341.20s]  Мы прятались от лишних глаз
[341.20s -> 345.20s]  Я целовал тебя тогда в свой первый раз
[348.20s -> 359.23s]  Для того, чтобы поплыть наедине
[359.23s -> 362.23s]  С моим близким любимым человеком
[362.23s -> 365.23s]  В большом зерном городе
[365.23s -> 367.23s]  Приходится находить места
[367.23s -> 369.23s]  Добраться повыше
[371.23s -> 374.23s]  На крыше городских домов
[374.23s -> 377.23s]  Мы прятались от лишних глаз
[377.23s -> 381.23s]  Я целовал тебя тогда в свой первый раз
[383.23s -> 386.23s]  На крыше городских домов
[386.23s -> 389.23s]  Мы прятались от лишних глаз
[389.23s -> 394.23s]  Я целовал тебя тогда в свой первый раз
[406.89s -> 409.89s]  Вы рассчитывали на это в самом начале
[409.89s -> 412.89s]  Или когда какую-то из ваших песен
[412.89s -> 415.89s]  Главных писали, творили, лепили?
[415.89s -> 418.89s]  Конечно, когда мы были совсем малыми
[418.89s -> 421.89s]  И занимались музыкальной школой
[421.89s -> 424.89s]  Наша мечта была, чтобы наши песни
[424.89s -> 427.89s]  Слушали по всему миру
[427.89s -> 430.89s]  И мы всегда к этому шли
[430.89s -> 433.89s]  Мы всегда писали песни, сколько себя помню
[434.89s -> 437.89s]  Мы всегда писали, сочиняли
[437.89s -> 440.89s]  И нам не важно было, сейчас это успешно или нет
[440.89s -> 443.89s]  Мы продолжали это делать
[443.89s -> 446.89s]  И верить в то, что однажды нас услышат
[446.89s -> 449.89s]  Нас полюбят
[449.89s -> 452.89s]  Свобода мысли
[452.89s -> 455.89s]  Гениальный Высоцкий говорил, что он не рассчитывал
[455.89s -> 458.89s]  На огромное количество людей, которые будут слушать
[458.89s -> 461.89s]  А пел для своих друзей за столом
[462.89s -> 465.89s]  У вас был такой момент стартовый
[465.89s -> 468.89s]  Когда вы где-то в квартире или в гараже
