[0.43s -> 11.07s]  МУЗЫКАЛЬНАЯ ЗАСТАВКА
[11.07s -> 13.59s]  Добро пожаловать на шоу-аукцион!
[13.59s -> 18.03s]  Шоу, в котором подписчики делают ставки за вещи любимого артиста.
[18.03s -> 21.07s]  Сделать ставку может каждый сидящий в зале.
[21.07s -> 24.47s]  В качестве ставки принимается все, кроме денег.
[24.47s -> 28.99s]  Ну а ставки помогу вам сделать я, ведущий этого шоу Игорь Чехов!
[29.87s -> 32.07s]  Всем здравствуйте, друзья!
[32.07s -> 33.75s]  Е-е-е!
[33.75s -> 36.63s]  Всех с Новым Годом, дамы и господа!
[36.63s -> 38.55s]  У-у-у-а-я!
[38.55s -> 42.47s]  Добро пожаловать на шоу-аукцион, дамы и господа!
[42.47s -> 47.63s]  Сегодня мы разыграем 5 лотов нашей многоуважаемой приглашенной звезды.
[47.63s -> 51.95s]  А у нас сегодня в гостях замечательная, обворожительная и неповторимая
[51.95s -> 54.75s]  Наргиз!
[54.75s -> 57.39s]  Ваши аплодисменты, да!
[57.39s -> 60.15s]  У-у-у-у!
[60.15s -> 62.79s]  Наргиз, я такой радостный, такой радостный!
[62.79s -> 65.51s]  Спасибо большое, что вы сегодня с нами. Давайте еще раз аплодисменты!
[65.51s -> 66.79s]  Наргиз, ура!
[66.79s -> 67.83s]  Спасибо вам большое!
[67.83s -> 69.07s]  Спасибо вам большое!
[69.07s -> 70.43s]  Огромный, огромный респект!
[70.43s -> 74.55s]  Наргиз, как дела? Как новогодние движения? Как настроение вообще?
[74.55s -> 76.39s]  Дела, на самом деле, замечательные.
[76.39s -> 76.91s]  Так?
[76.91s -> 82.03s]  А первое, что хочу сказать, моему второму внуку исполнилось 7 месяцев.
[82.03s -> 82.87s]  Внуку?
[82.87s -> 83.51s]  Второму.
[83.51s -> 84.27s]  Стоп!
[84.27s -> 84.95s]  Да!
[84.95s -> 88.38s]  Стоп!
[88.50s -> 89.02s]  Да!
[89.02s -> 90.90s]  Внуку?
[90.90s -> 93.78s]  Внуку, да. Я уже бабушка дважды.
[93.78s -> 98.54s]  Моему первому внуку 7 лет, второму внуку 7 месяцев исполнилось вчера.
[98.54s -> 102.14s]  Ах, геть! Мы чего? Мы чего?
[102.14s -> 107.82s]  Самое главное событие для меня, что вчера он сказал первое слово.
[107.82s -> 108.62s]  Какое было первое слово?
[108.62s -> 110.38s]  Он сказал «да-да».
[110.38s -> 111.06s]  Ну.
[111.06s -> 111.58s]  Вот.
[111.58s -> 112.46s]  Что в переводе?
[112.46s -> 115.50s]  Что в переводе. По-русски это будет «да-да».
[115.50s -> 118.34s]  Да. Ну, если он сразу согласился на все, что вы ему предлагаете.
[118.34s -> 120.10s]  Просто «будешь ездить? Да-да».
[120.10s -> 121.26s]  Да-да.
[121.26s -> 124.82s]  И вот это вот, наверное, самое главное событие.
[124.82s -> 128.90s]  Потому что внуки – это просто вот мой двигатель, моя жизнь.
[128.90s -> 129.78s]  Это очень круто.
[129.78s -> 132.98s]  А в творческой жизни у меня более чем замечательно.
[132.98s -> 135.46s]  Даже недавно совсем вышел новый трек.
[135.46s -> 136.02s]  Трек.
[136.02s -> 139.78s]  Под названием «Не солдат», который мы записали вместе с…
[139.78s -> 143.74s]  Наконец-то первая наша работа с Виктором Дробышем.
[143.74s -> 145.22s]  Воу-воу-воу!
[145.22s -> 148.88s]  Воу-воу-воу!
[149.04s -> 154.24s]  И буквально через несколько часов вышел сразу видеоклип.
[154.24s -> 159.04s]  Поэтому сейчас вот у меня все складывается очень замечательно.
[159.04s -> 161.60s]  Это очень радостно. Это очень радостно, друзья.
[161.60s -> 164.40s]  Наргизла сегодня в гостях.
[164.40s -> 167.28s]  Прекрасная череда замечательных событий.
[167.28s -> 170.44s]  И тем более повод, который собрал сегодня нас здесь.
[170.44s -> 175.80s]  И время, которое нас собрало здесь, действительно прекрасно и свойственно некому чуду, друзья.
[175.80s -> 181.92s]  Итак, дамы и господа, леди и джентльмены, аукцион начинается!
[193.24s -> 198.36s]  Дамы и господа, леди и джентльмены, сегодня Наргиз принесла к нам пять лотов,
[198.36s -> 202.36s]  которые мы разыграем здесь на нашем прекрасном эшафоде.
[202.36s -> 204.56s]  Как хотите, это называйте.
[204.56s -> 209.80s]  Ну что ж, леди и джентльмены, дамы и господа, мы готовы презентовать вам первый лот.
[209.80s -> 211.80s]  Лот в студию, пожалуйста!
[213.80s -> 217.80s]  Итак, Наргиз, расскажите, пожалуйста, что это за первый лот? Это некий эликсир?
[217.80s -> 219.80s]  Да, эликсир в молодости.
[219.80s -> 223.80s]  А-а-а! Где мы так вонялись сразу?
[223.80s -> 225.80s]  Маленькая предыстория.
[225.80s -> 231.80s]  Прежде чем я расскажу о своих лотах, я человек совершенно помешанный на ароматах.
[231.80s -> 233.80s]  Это моя слабость.
[233.80s -> 240.80s]  Очень люблю ароматы и, естественно, скупаю постоянно что-то, что мне интересно.
[240.80s -> 245.80s]  Вот я слышу этот аромат, запах, и мне хочется его приобрести,
[245.80s -> 250.80s]  не для того, чтобы носить его вот именно тот, который я приобрела.
[250.80s -> 253.80s]  Я люблю их смешивать и создавать какие-то...
[253.80s -> 258.80s]  Да, у меня огромное количество дома масел всевозможных,
[258.80s -> 262.80s]  которые были привезены из разных совершенно уголков планеты.
[262.80s -> 264.80s]  Поэтому я создаю эти ароматы.
[264.80s -> 269.80s]  Создавая эти ароматы, естественно, у меня огромное количество духов,
[269.80s -> 272.80s]  фадикалуманов, парфюмов и женских и мужских.
[272.80s -> 280.80s]  Но в какой-то момент мне какой-то аромат уже начинает немножечко надоедать.
[280.80s -> 286.80s]  И потом мы все прекрасно знаем, что духи, настоящие духи,
[286.80s -> 291.80s]  теряют все свои свойства и даже меняется запах со временем.
[291.80s -> 295.80s]  Поэтому я решила принести и подарить.
[295.80s -> 300.80s]  Я, конечно, использовала пару раз или три, может быть, даже четыре раза для чего-то.
[300.80s -> 307.80s]  Но я решила отдать эти духи, потому что мне хочется, чтобы кому-то, может быть,
[307.80s -> 315.80s]  это очень понравится, и духи не утеряют своих свойств и оставят тот аромат, который нужно.
[315.80s -> 317.80s]  Невероятно. Скажите, Наргиз, хорошо, спасибо большое.
[317.80s -> 321.80s]  Вот вы хлопаете, как будто у вас тоже много новомасси.
[321.80s -> 328.80s]  Наргиз, скажите, эти духи, именно этот запах, этот аромат вы сами сделали, он смешанный?
[328.80s -> 331.80s]  Нет-нет-нет, это не смешанный аромат.
[331.80s -> 336.80s]  Мне его подарил очень известный человек, я не буду говорить, кто.
[336.80s -> 342.80s]  И насколько я знаю, вот именно вот эта линейка парфюм, она стоит очень дорого
[342.80s -> 347.80s]  и считается, она очень какой-то такой супер-дупер-богатый.
[347.80s -> 349.80s]  Богатый!
[349.80s -> 351.80s]  Вы не предположите цену этому парфюму?
[351.80s -> 357.80s]  Я вам скажу точную цену. Он стоит в пределах где-то 40 тысяч рублей.
[357.80s -> 359.80s]  Рублей? Фу!
[359.80s -> 362.80s]  Я считаю, что это дорого.
[362.80s -> 364.80s]  Ну, это отличная цена.
[364.80s -> 367.80s]  И, честно говоря, для себя я бы такой парфюм не приобрела, правда.
[367.80s -> 373.80s]  Но в моей коллекции, так как я могу его использовать для смешивания, он имел место быть.
[373.80s -> 381.80s]  И вот сейчас он стоял очень долго, и мне показалось, что пока он не утратил свою магию,
[381.80s -> 386.80s]  нужно его быстренько, да, лучше я его подарю кому-нибудь.
[386.80s -> 389.80s]  Кому-то, может быть, этот аромат придется подушить.
[389.80s -> 393.80s]  Кому-то он сегодня достанется, друзья. Невероятный аромат от Наргиз.
[393.80s -> 397.80s]  Кому же он достанется, мы пока не знаем.
[397.80s -> 401.80s]  Мы узнаем это с помощью нашего усложнителя. Усложнитель!
[401.80s -> 404.80s]  В студию, пожалуйста, выходите к нам, попрошу аплодисменты.
[404.80s -> 406.80s]  Естественно!
[411.82s -> 413.82s]  Что же это кто? Что же это кто?
[413.82s -> 415.82s]  Вот он, наш черный господин.
[415.82s -> 419.82s]  Да, пожалуйста, занимайте наше место. Да, вот он.
[419.82s -> 421.82s]  Это повелитель плети.
[421.82s -> 424.82s]  Это мастер Джо.
[424.82s -> 429.82s]  Мастер плети готов отхлыстать кого-нибудь какое-то количество раз.
[429.82s -> 433.82s]  Какое мы с вами поставим? Я смотрю, человек, который очень сильно любит боль.
[433.82s -> 436.82s]  Номер 14, пожалуйста, делайте вашу ставочку.
[436.82s -> 439.82s]  Я хочу, чтобы он хлыстал меня десять раз.
[439.82s -> 441.82s]  Десять раз. Ну какое место вы определяете?
[441.82s -> 445.82s]  Давайте мы сразу поймем, что это, скорее всего, мягкая часть тела, да, человеческое?
[445.82s -> 447.82s]  Меня можно везде.
[449.82s -> 451.82s]  Это сразу хорошо, это расширяет границы.
[451.82s -> 453.82s]  Мне нравится, что в основном женщины поднимают.
[453.82s -> 456.82s]  Номер 18, пожалуйста, делаем вашу ставочку.
[456.82s -> 460.82s]  А я готова танцевать около него, и он временно будет...
[460.82s -> 464.82s]  Я готов целовать песок, по которому ты ходила, да.
[464.82s -> 466.82s]  Готова танцевать. Да, танцевать.
[466.82s -> 468.82s]  Вокруг нашего господина, господина плети, шикарно.
[468.82s -> 470.82s]  Номер 17, ваша ставка.
[470.82s -> 472.82s]  Одиннадцать раз.
[472.82s -> 474.82s]  Одиннадцать раз. Вы говорите сейчас про что?
[474.82s -> 477.82s]  Хлыстать. А, хлыстать. Я так и понял сразу.
[477.82s -> 479.82s]  Я не вижу, господин или госпожа?
[479.82s -> 482.82s]  Это все я. Я буду стоять на четвереньках.
[483.82s -> 485.82s]  Он будет хлыстать меня по попке.
[485.82s -> 487.82s]  Тринадцать раз.
[487.82s -> 489.82s]  Тринадцать раз. Счастливо.
[489.82s -> 492.82s]  До чертова дюжина достанется госпожа под номером 14.
[492.82s -> 494.82s]  Или госпожа под номером 17, пожалуйста.
[494.82s -> 496.82s]  Ваша ставка.
[496.82s -> 498.82s]  Восемнадцать.
[498.82s -> 500.82s]  Мне нравится ход ваших мыслей.
[500.82s -> 502.82s]  Восемнадцать раз, друзья. Отлично.
[502.82s -> 504.82s]  Спасибо большое. Номер десять, ваша ставка.
[504.82s -> 509.82s]  Ради этого аромата я вынесу 35 ударов плетьми.
[509.82s -> 511.82s]  Стоя. Да, просто на ногах. Правильно я понимаю?
[511.82s -> 513.82s]  Нет.
[513.82s -> 515.82s]  Мне понравился ход мысли госпожи под номером 14.
[515.82s -> 517.82s]  Сделать это на коленях.
[517.82s -> 519.82s]  Я сделаю это в любом виде.
[521.82s -> 523.82s]  На гриле?
[525.82s -> 527.82s]  Отлично. Номер 14.
[527.82s -> 529.82s]  На четвереньках сколько раз?
[529.82s -> 531.82s]  Сорок раз.
[531.82s -> 533.82s]  Отлично. Кто больше? Милые дамы.
[533.82s -> 535.82s]  Восемнадцать номер, пожалуйста.
[535.82s -> 537.82s]  Я хочу встать на мостик.
[537.82s -> 539.82s]  На мостик уже хорошо.
[539.82s -> 541.82s]  По животу у меня будет раз десять.
[541.82s -> 543.82s]  И еще при этом буду песенку какую-нибудь петь.
[543.82s -> 545.82s]  Смотри, я так понимаю, вы очень
[545.82s -> 547.82s]  пластичная мадемуазель и готовы
[547.82s -> 549.82s]  истанцевать, и на мостик встать,
[549.82s -> 551.82s]  и со всех сторон получить, правильно?
[551.82s -> 553.82s]  Ну да, только если не сильно.
[553.82s -> 555.82s]  Такое веселье, да?
[555.82s -> 557.82s]  Я очень хочу этот парфюм.
[557.82s -> 559.82s]  Очень парфюм хотите, да?
[559.82s -> 561.82s]  Извините, пожалуйста. Можно один вопрос?
[561.82s -> 563.82s]  Да.
[563.82s -> 565.82s]  Все знают вообще этот аромат,
[565.82s -> 567.82s]  но ради него вы готовы
[567.82s -> 569.82s]  жертвовать вот такими вот ценениями.
[569.82s -> 571.82s]  А вдруг он сыграет этого?
[571.82s -> 573.82s]  Дубайский аромат.
[573.82s -> 575.82s]  Восточный аромат, правильно?
[575.82s -> 577.82s]  Да.
[577.82s -> 579.82s]  Я ради восточного аромата готова,
[579.82s -> 581.82s]  потому что я обожаю.
[581.82s -> 583.82s]  Он сносит вам голову, да?
[583.82s -> 585.82s]  Да, я просто уже три года мечтаю,
[585.82s -> 587.82s]  чтобы он был на мостике.
[587.82s -> 589.82s]  Наргиз, здесь за кепку люди просто
[589.82s -> 591.82s]  на головах стоят, чтобы вы понимали.
[591.82s -> 593.82s]  Хорошо, все, я больше ничего говорить не буду.
[593.82s -> 595.82s]  Кто готов больше?
[595.82s -> 597.82s]  Просто стоять на четверейках и получить 55 раз
[597.82s -> 599.82s]  от нашего... Да, номер 10, пожалуйста.
[599.82s -> 601.82s]  Я буду стоять на коленях,
[601.82s -> 603.82s]  35 ударов
[603.82s -> 605.82s]  и петь песню
[605.82s -> 607.82s]  «Наргиз, ты мое солнце».
[607.82s -> 609.82s]  Наргиз... Давайте спросим у Наргиз.
[609.82s -> 611.82s]  Может быть, он против, кстати, этого такого.
[611.82s -> 613.82s]  Как вы относитесь к этому? Нормально?
[613.82s -> 615.82s]  Оставьте, пусть поет.
[615.82s -> 617.82s]  Он очень хорошо. Мне тоже нравится.
[617.82s -> 619.82s]  Раз, два, три. Продано номер 10.
[619.82s -> 621.82s]  Бам! Отлично!
[621.82s -> 623.82s]  Да!
[623.82s -> 625.82s]  Прошу приступить к выполнению ставки.
[625.82s -> 627.82s]  Ну что ж, номер 10, выходите к нам сюда.
[629.82s -> 631.82s]  Итак, госпожа, разрешите представиться.
[631.82s -> 633.82s]  Как вас зовут?
[633.82s -> 635.82s]  Меня зовут Дарья.
[635.82s -> 637.82s]  Дарья.
[637.82s -> 639.82s]  Ну, Дарья, тогда вставайтесь, пожалуйста,
[639.82s -> 641.82s]  в некую позу. Четвереньки, я думаю,
[641.82s -> 643.82s]  для этого будет вполне удобоворимая
[643.82s -> 645.82s]  поза.
[645.82s -> 647.82s]  Раздеваться, я надеюсь, они не будут, да?
[647.82s -> 649.82s]  Не, раздеваться не будем.
[649.82s -> 651.82s]  Это уже другая передача.
[651.82s -> 653.82s]  Она идет уже там
[653.82s -> 655.82s]  после 11.
[655.82s -> 657.82s]  Итак, повелитель, повелитель плети!
[657.82s -> 659.82s]  Накажите эту
[659.82s -> 661.82s]  женщину!
[661.82s -> 663.82s]  Нас бьют, мы летаем
[663.82s -> 665.82s]  От боли все выше
[665.82s -> 667.82s]  А, мастер плети?
[667.82s -> 669.82s]  А можете сильнее чуть-чуть?
[669.82s -> 671.82s]  Можно прям...
[671.82s -> 673.82s]  Да, видите, ей нравится.
[673.82s -> 675.82s]  Нас бьют, мы летаем
[675.82s -> 677.82s]  Сильнее прям, сильнее.
[677.82s -> 679.82s]  Смеемся и плачем
[679.82s -> 681.82s]  Внизу оставляя
[681.82s -> 683.82s]  Свои
[683.82s -> 685.82s]  неудачи
[685.82s -> 687.82s]  Мастер плети, а можете
[687.82s -> 689.82s]  прям со всей силы, ну, по чуть...
[689.82s -> 691.82s]  Ну, по сильнее прям.
[691.82s -> 693.82s]  Пусть врут, что прибчаем
[693.82s -> 695.82s]  От новых предательств
[695.82s -> 697.82s]  Обидный и смешный
[697.82s -> 699.82s]  Сильнее! Сильнее!
[699.82s -> 701.82s]  Сильнее!
[701.82s -> 703.82s]  Над страхом
[703.82s -> 705.82s]  Потери подняться
[705.82s -> 707.82s]  Сильнее!
[707.82s -> 709.82s]  Нас бьют, мы летаем
[709.82s -> 711.82s]  От боли все выше
[711.82s -> 713.82s]  Смело расправляя
[713.82s -> 715.82s]  Нас собственной
[715.82s -> 717.82s]  Крышей
[717.82s -> 719.82s]  Нас бьют, мы летаем
[719.82s -> 721.82s]  Смеемся и плачем
[721.82s -> 723.82s]  Внизу оставляя
[723.82s -> 725.82s]  Свои
[725.82s -> 727.82s]  неудачи
[727.82s -> 729.82s]  Удачи!
[735.82s -> 737.82s]  Да!
[737.82s -> 739.82s]  Аплодисменты, Дарья!
[739.82s -> 741.82s]  Спасибо большое нашему
[741.82s -> 743.82s]  повелителю плети!
[743.82s -> 745.82s]  Наргиз, я думаю, что ставка сыграла
[745.82s -> 747.82s]  Как вы считаете?
[747.82s -> 749.82s]  Я вас поздравляю
[749.82s -> 751.82s]  Врутите, пожалуйста, врутите, пожалуйста
[751.82s -> 753.82s]  Заслуженный аромат
[753.82s -> 755.82s]  Теперь вы еще вкусно пахнут
[755.82s -> 757.82s]  Пользуйтесь, пожалуйста
[757.82s -> 759.82s]  Дарья великолепно спела эту песню
[759.82s -> 761.82s]  Спасибо вам
[765.82s -> 767.82s]  Наргиз, скажите, пожалуйста
[767.82s -> 769.82s]  Попала ли Дарья в тональность?
[769.82s -> 773.38s]  Ну, вы знаете, на самом деле
[773.38s -> 775.38s]  Попала
[775.38s -> 777.38s]  Попала, да?
[777.38s -> 779.38s]  Да
[779.38s -> 781.38s]  Но это очень секси
[781.38s -> 783.38s]  Это выглядело потрясающе
[783.38s -> 785.38s]  Молодец
[785.38s -> 787.38s]  Мне очень понравилось
[787.38s -> 789.38s]  Дамы и господа, дорогие друзья
[789.38s -> 791.38s]  Разрешите презентовать вам
[791.38s -> 793.38s]  Лот под номером 2
[793.38s -> 795.38s]  Пожалуйста
[795.38s -> 797.38s]  Что это за лот такой?
[797.38s -> 799.38s]  Это очень необычный аромат
[799.38s -> 801.38s]  Очень необычный
[801.38s -> 803.38s]  Там сосредоточено
[803.38s -> 805.38s]  Очень много табака
[805.38s -> 807.38s]  Да, очень много табака
[807.38s -> 809.38s]  Ходят слухи, что этот аромат
[809.38s -> 811.38s]  убил лошадь
[811.38s -> 813.38s]  Нет, он не убивал лошадь
[813.38s -> 815.38s]  Но я, честно говоря, не знаю
[815.38s -> 817.38s]  Подошел бы этот аромат
[817.38s -> 819.38s]  любой женщине
[819.38s -> 821.38s]  Мне кажется, табак
[821.38s -> 823.38s]  Он свойственный, наверное, как-то
[823.38s -> 825.38s]  В полу?
[825.38s -> 827.38s]  Ну, женщинам тоже можно
[827.38s -> 829.38s]  Если в порцион
[829.38s -> 831.38s]  Но достаточно необычный аромат
[831.38s -> 833.38s]  И я помню, что приобрела
[833.38s -> 835.38s]  Я его, по-моему
[835.38s -> 837.38s]  В Берлине
[837.38s -> 839.38s]  Ооо
[839.38s -> 841.38s]  На секундочку
[843.38s -> 845.38s]  Этот аромат
[845.38s -> 847.38s]  Как и предыдущий
[847.38s -> 849.38s]  Им совершенно нельзя злоупотреблять
[849.38s -> 851.38s]  Вообще любыми ароматами
[851.38s -> 853.38s]  Это признак
[853.38s -> 855.38s]  Совершенно дурного тона
[855.38s -> 857.38s]  Лучше чуть-чуть не досолить
[857.38s -> 859.38s]  Совершенно верно
[859.38s -> 861.38s]  Я тоже за это
[861.38s -> 863.38s]  Итак, дамы и господа, усложнитель в студию
[869.38s -> 871.38s]  Это самая-самая кислая конфета
[871.38s -> 873.38s]  В мире, как мне сказали
[873.38s -> 875.38s]  Она называется toxic waste
[875.38s -> 877.38s]  Что в переводе означает
[877.38s -> 879.38s]  Токсичные отходы
[879.38s -> 881.38s]  Я, честно говоря, сам не пробовал
[881.38s -> 883.38s]  Но говорят, это самая-самая кислая конфета
[883.38s -> 885.38s]  Итак, дамы и господа, у нас в лот номер два
[885.38s -> 887.38s]  Невероятные духи, которые
[887.38s -> 889.38s]  Наргиз приобрела в Германии
[889.38s -> 891.38s]  Что мы готовы, дабы заполучить их в личное пользование
[891.38s -> 893.38s]  Пожалуйста, друзья, делайте ваши ставки
[893.38s -> 895.38s]  Номер 25, пожалуйста
[895.38s -> 897.38s]  Ну, начнем с минимума
[897.38s -> 899.38s]  Съесть одну конфету
[899.38s -> 901.38s]  Съесть одну конфетку, хорошо
[901.38s -> 903.38s]  Номер 25, ставка принята, кто больше?
[903.38s -> 905.38s]  Номер 13, пожалуйста
[905.38s -> 907.38s]  Две конфеты
[907.38s -> 909.38s]  Номер 21, правильно?
[909.38s -> 911.38s]  Четыре конфетки
[911.38s -> 913.38s]  Четыре конфетки, хорошо
[913.38s -> 915.38s]  Номер 16
[915.38s -> 917.38s]  Готовы съесть все
[917.38s -> 919.38s]  Все, супер, я думаю, что это максимальная ставка
[919.38s -> 921.38s]  У нас больше нету конфеток
