[0.11s -> 2.11s]  Шляпа
[4.11s -> 6.11s]  Здоров, родненькие!
[6.11s -> 8.11s]  Это шоу Шляпа.
[8.11s -> 10.11s]  Если вы, как и мы, любите поугарать
[10.11s -> 12.11s]  над самыми тупыми видосами с интернета,
[12.11s -> 14.11s]  это шоу для вас.
[14.11s -> 16.11s]  Ну, по-моему, на Рутюге нельзя переключать каналы,
[16.11s -> 18.11s]  поэтому не переключай канал.
[18.11s -> 20.11s]  Шоу Шляпа, погнали!
[20.11s -> 22.11s]  Мы с парнями всю неделю отбирали видосы в интернете.
[22.11s -> 24.11s]  Помимо тех, которые просто гуляют по сети,
[24.11s -> 26.11s]  мы сегодня принесли сюда
[26.11s -> 28.11s]  еще и те, которые прислали нам вы,
[28.11s -> 30.11s]  дорогие подписчики, в наши соцсети в дире.
[30.11s -> 32.11s]  А шляпа это или нет,
[32.11s -> 34.11s]  мы сейчас вместе с вами как раз и решим.
[34.11s -> 36.11s]  Вот кто из нас припер сюда
[36.11s -> 38.11s]  сегодня самые шляпные видосы
[38.11s -> 40.11s]  ненадолго почувствовать себя в вашей технике.
[40.11s -> 42.11s]  Ты со шконки, и сейчас с тобой рядом.
[42.11s -> 44.11s]  Для меня это вообще большая часть.
[44.11s -> 46.11s]  Он сегодня по итогу программы
[46.11s -> 48.11s]  выложит себе в сторис
[48.11s -> 50.11s]  такое шляпное видео,
[50.11s -> 52.11s]  от которого ну просто пятки сморчиваются,
[52.11s -> 54.11s]  вот как после бассейна.
[54.11s -> 56.11s]  Это шоу Шляпа, это Макс, это Андрюха, это Сема.
[56.11s -> 58.11s]  Погнали!
[58.11s -> 60.11s]  Видос номер один от Андрея.
[73.44s -> 75.44s]  Завязка, развязка.
[75.44s -> 77.44s]  Сыгие собачки, они сами по себе спекуляции всегда.
[77.44s -> 79.44s]  Особенности они отсняты на хорошую камеру,
[79.44s -> 81.44s]  и они что-нибудь чудят.
[81.44s -> 83.44s]  И со звуком.
[83.44s -> 85.44s]  Андрюха сразу с козырей пошел.
[85.44s -> 87.44s]  Ну это не шляпа, это объективно.
[89.44s -> 91.44s]  Поехали, видео от Максима Назарова.
[91.44s -> 93.44s]  Вот она.
[93.44s -> 95.44s]  Ну понимаешь, что мне присылает, да?
[95.44s -> 97.44s]  Да. Что там лазит у нее по меню, *****.
[99.44s -> 101.44s]  Ничего себе молоток.
[103.44s -> 105.44s]  Загласи все резко.
[105.44s -> 107.44s]  Ну вот Макс наконец нас с сестрой познакомил.
[107.44s -> 109.44s]  У нее маяк,
