[5.68s -> 92.22s]  ДИНАМИЧНАЯ МУЗЫКА
[92.22s -> 157.78s]  О чем песня? 2020 год, Париж, незадолго до пандемии.
[157.78s -> 161.34s]  Мы, как обычно, 3 марта были в Париже,
[161.34s -> 166.86s]  потому что у моей женщины день рождения мы очень жутко ссорились три дня подряд.
[166.86s -> 173.18s]  И решили провести вот этот последний день в Париже каждый по-своему, каждый один наедине с собой.
[173.18s -> 179.06s]  И я ходил по Парижу, писал эту песню, писал ее о том, что как нам трудно, тяжело вместе,
[179.06s -> 184.66s]  потому что мы настолько по-разному видим Париж и хотим абсолютно разные вещи.
[184.66s -> 187.74s]  В итоге мы, конечно, не расстались, а получилась из этого очень хорошая песня.
[187.74s -> 192.74s]  Мы решили снять визуально эту песню именно в ВАР-4, потому что песня моя называется «Помпеду»,
[192.74s -> 195.70s]  и я действительно бродил по Помпеду и докручивал эту песню.
[195.70s -> 201.14s]  И я решил как-то это вот совместить, поэтому мы сняли в ВАР-4, потому что это одна из моих любимых галереев в Москве.
[201.14s -> 206.02s]  Это мои музыканты, они все абсолютные асы виртуозы в своем сфере, например.
[206.10s -> 209.90s]  Вова – самый лучший гитарист в России, я не шучу.
[209.90s -> 212.94s]  Арсений – самый лучший басист, я не шучу.
[212.94s -> 216.18s]  Миша – самый красивый барабанщик, как минимум.
[216.18s -> 220.34s]  И Саша, он живет со мной, я забрал у него паспорт.
[220.34s -> 224.94s]  Я сегодня его выпустил, он сейчас вернется в свою комнату, я его запру и буду дальше работать.
[224.94s -> 229.54s]  Саша отвечает, в принципе, полностью за все музыкальное оформление, музыку мы делаем в основном с Сашей,
[229.54s -> 231.70s]  а потом собираемся вместе и докручиваем.
[231.70s -> 234.34s]  Наш следующий альбом – это «Попса».
[234.34s -> 236.70s]  В прямом смысле этого слова, это просто попсятина.
[236.70s -> 240.62s]  Иногда мы сидели, слушали Жукова и думали, так мы тоже сможем.
