[3.89s -> 18.61s]  ДИНАМИЧНАЯ МУЗЫКА
[18.61s -> 20.93s]  Всем привет! С вами шоу Хашлама.
[20.93s -> 26.73s]  Это шоу, в котором мы приглашаем блогеров и мучаем их за их контент.
[26.73s -> 30.29s]  И в частности, сегодня это Анастасия Витонова.
[30.29s -> 32.57s]  Она одновременно со мной говорит.
[32.57s -> 34.29s]  У нас, типа, поменялся формат или что-то?
[34.29s -> 35.73s]  Да, формат меняется каждый день.
[35.73s -> 38.69s]  Тебя только что не устраивало, и сразу изменение.
[38.69s -> 40.97s]  Ты понимаешь? Это тебе не Россия.
[40.97s -> 44.29s]  Так, короче, мы заказали еду в Punch Factory.
[44.29s -> 47.13s]  The Punch Factory это же завод.
[47.13s -> 48.81s]  Короче, Султан заказал сегодня чистый завтрак.
[48.81s -> 50.49s]  У нас завтраки, завтраки и сладкое.
[50.49s -> 52.49s]  Слышать, что это булок заказал? 50 килограмм вот такой.
[52.49s -> 53.61s]  Вот один круассан.
[53.61s -> 55.21s]  И две беззэшки.
[55.21s -> 56.21s]  А это все беззэшки?
[56.21s -> 58.09s]  Это две беззэшки. А что такое беззэшки?
[58.09s -> 60.05s]  Это сахар запеченный.
[60.05s -> 61.93s]  Это не сахар запеченный, это белок.
[62.01s -> 64.61s]  Белок, да, сбитый с сахаром и запеченный.
[64.61s -> 65.89s]  А эта женщина умеет готовить?
[65.89s -> 68.09s]  Да, бетону она выкладывает в сторис.
[68.09s -> 70.09s]  Я сегодня выложил сторис запеканка картофельный.
[70.09s -> 71.09s]  С курицей и помидорами.
[71.09s -> 72.09s]  Я смотрел.
[72.09s -> 75.09s]  Очень печальный
[75.09s -> 79.53s]  Мам, я, я, я, девушка, жив.
[79.53s -> 82.69s]  В этот вечер не со мной осталась ты.
[82.69s -> 83.69s]  И на тихую яйцу я тоже.
[83.69s -> 87.69s]  Прекрасен, но очень печальный.
[87.69s -> 88.93s]  Авет, ты изменял когда-нибудь женщину?
[88.93s -> 89.45s]  Да.
[89.45s -> 90.13s]  Это же ужасно.
[90.13s -> 91.13s]  Да, это плохо.
[91.13s -> 92.13s]  Это же свинство по отношению к женщине.
[92.13s -> 93.13s]  Это просто ********.
[93.13s -> 95.13s]  Хорошо, что вы хотите. Я изменял, окей.
[95.13s -> 96.13s]  Мне надо яички отрезать?
[96.13s -> 97.13s]  Да.
[97.13s -> 98.13s]  Ну, отрезай.
[99.13s -> 101.44s]  А я ножницы не взял.
[103.44s -> 105.44s]  Отпусти меня отсюда, пожалуйста.
[105.44s -> 107.44s]  *****, ты такие бородоты видео нашел.
[107.44s -> 110.44s]  Отпусти, пожалуйста.
[110.44s -> 112.44s]  Подкаблучник *******, да?
[112.44s -> 114.44s]  Водки попить маленько.
[115.44s -> 118.44s]  Он, по-моему, уже под водкой.
[118.44s -> 121.44s]  Нормально. Мужик должен вообще бить, похлебал нормально.
[121.44s -> 123.44s]  Если ему надо куда-то идти, он подошел и сказал бы,
[123.44s -> 124.44s]  мне надо идти.
[124.44s -> 125.44s]  Да, сейчас, конечно.
[125.44s -> 126.44s]  У тебя был подкаблучник, честно скажи?
[126.44s -> 127.44s]  Да.
[127.44s -> 129.44s]  Ну, было такое, что ты его гостил?
[129.44s -> 132.44s]  Нет, не подкаблучник. Почему мужчина, который пытается
[132.44s -> 134.44s]  сделать хорошо от своей женщины, это классный мужчина,
[134.44s -> 135.44s]  это не подкаблучник.
[135.44s -> 136.44s]  Здесь где он хорошо делает?
[136.44s -> 138.44s]  Слезами, типа с женщиной.
[138.44s -> 141.44s]  Это вообще тряпка. Это фигня какая-то.
[141.44s -> 143.44s]  Вообще он пьяный и странный.
[143.44s -> 144.44s]  А как ты поняла, что он пьяный?
[144.44s -> 146.44s]  Блин, очень много пил до этого.
[146.44s -> 148.44s]  Ну, посмотри на его внешний вид.
[148.44s -> 149.44s]  Что, а может он бросал в грязную?
[149.44s -> 150.44s]  Нормально.
[150.44s -> 151.44s]  За МКАДом такие люди живут?
[151.44s -> 152.44s]  Да.
[152.44s -> 154.44s]  Ты выйди за садовое кольцо хотя.
[154.44s -> 156.44s]  За моим КАДом такие люди не живут.
[156.44s -> 157.44s]  Я не знаю.
[157.44s -> 158.44s]  Она не была за МКАДом, понимаешь?
[158.44s -> 161.44s]  Она сюда, в пределах трешки, двигается.
[161.44s -> 162.44s]  Она забыла, что это было.
[162.44s -> 164.44s]  Ну, все как будто у него перцосы в глаза залили.
[165.44s -> 166.44s]  Он плакал.
[166.44s -> 168.44s]  Он плакал. Это настоящие мужские эмоции.
[168.44s -> 169.44s]  Ты знаешь, что это такое?
[169.44s -> 170.44s]  Мужчина, можешь плакать?
[170.44s -> 172.44s]  У тебя мужчины вообще любили по-настоящему, я не понимаю?
[172.44s -> 173.44s]  Меня?
[173.44s -> 174.44s]  Да.
[174.44s -> 175.44s]  Ну, вот ты у них спроси.
[177.44s -> 179.44s]  Если они так не плакали.
[179.44s -> 180.44s]  Да, без шоу.
[180.44s -> 181.44s]  Психолог сейчас зайдет.
[181.44s -> 182.44s]  А это он, кстати.
[182.44s -> 183.44s]  Да, Ветка.
[183.44s -> 189.44s]  Вы смотрите, как пьют котята молочко, когда мама коровы дует.
[189.44s -> 191.44s]  Я такие видео в детстве снимала.
[193.75s -> 194.75s]  Как хорошо.
[194.75s -> 196.75s]  Какие лапунги.
[198.75s -> 200.75s]  Ну, потрясающе.
