[3.89s -> 18.89s]  Музыка
[18.89s -> 20.89s]  Всем привет, с вами шоу Хашлама.
[20.89s -> 25.89s]  Единственное шоу в интернете, призванное показать блогерам, что они снимают дичь.
[25.89s -> 28.89s]  Об этом шоу.
[28.89s -> 36.89s]  Но на самом деле сегодня у нас в гостях тот человек, который реально дичь не снимает, это бьюти блогер Рина Николь.
[36.89s -> 38.89s]  А похлопать?
[38.89s -> 40.89s]  Извините, пожалуйста.
[40.89s -> 42.89s]  Спасибо.
[42.89s -> 46.89s]  Вот, смотри, вот здесь все мужики.
[46.89s -> 48.89s]  Значит никто не видел твой контент из нас.
[48.89s -> 50.89s]  Ну да.
[50.89s -> 52.89s]  Ну не факт, не факт.
[52.89s -> 54.89s]  Вы не можете сказать за все.
[54.89s -> 56.89s]  А мне-то очень лощённый, но я думаю, что он всё лощённый.
[56.89s -> 58.89s]  Почему?
[58.89s -> 60.89s]  Потому что я смотрю на контента.
[60.89s -> 62.89s]  Потому что у тебя много лоска, поэтому лощённый.
[62.89s -> 66.89s]  Авет, сегодня мы заказали еду.
[66.89s -> 70.89s]  В ресторане Волхонский.
[70.89s -> 72.89s]  И что мы едим сегодня?
[72.89s -> 78.89s]  Это российская сеть, она есть в Москве, Санкт-Петербурге, в Нижнем Ровках, в Воронеже и в Киеве.
[78.89s -> 80.89s]  Султан, это всё сладкое?
[80.89s -> 84.89s]  Я смотрю, вы прямо подготовились, изучили информацию обо мне тщательно.
[84.89s -> 86.89s]  Это всё в диете, да?
[86.89s -> 90.89s]  Нет, я не ем сладкое и у меня аллергия на галлютен.
[90.89s -> 92.89s]  Кстати, я сегодня об этом с утра узнал.
[92.89s -> 94.89s]  Ну короче, поехали.
[94.89s -> 98.89s]  Рин, а почему Рина Николь? Что это значит?
[98.89s -> 100.89s]  Рина – это моё имя.
[100.89s -> 102.89s]  Я Ирина.
[102.89s -> 104.89s]  И Рина сокращенная.
[104.89s -> 106.89s]  От Ирина.
[106.89s -> 110.89s]  А Николь, я в какой-то момент поняла, что я сначала просто была Риной.
[110.89s -> 113.89s]  И когда я пыталась найти своё имя в интернете, я никогда не могла себя найти.
[113.89s -> 117.89s]  Потому что Рина слишком абстрактная, нужно было какое-то дополнение.
[117.89s -> 122.89s]  И я решила, почему бы не взять своё отчество и не переименовать его во вторую часть.
[122.89s -> 125.89s]  И не сделать как, типа, на американский лед.
[125.89s -> 127.89s]  Когда двойное имя.
[127.89s -> 129.89s]  Получилось у меня Николаевна отчество.
[129.89s -> 131.89s]  Я Рина Николь. Всё.
[131.89s -> 133.89s]  Изи-пизи.
[133.89s -> 135.89s]  А Рейна – это моя фамилия.
[135.89s -> 137.89s]  А Веда, какое у тебя отчество?
[137.89s -> 139.89s]  Артурович.
[139.89s -> 141.89s]  Вед-Арт.
[141.89s -> 144.89s]  По логике её имени, ты будешь Вед-Арт.
[144.89s -> 146.89s]  Ты собираешься переехать в Колумбию?
[146.89s -> 147.89s]  Да, да.
[147.89s -> 148.89s]  Ну не навсегда.
[148.89s -> 153.89s]  На самом деле, просто очень тяжело нам строить отношения здесь и жить здесь.
[153.89s -> 154.89s]  Это твой муж?
[154.89s -> 155.89s]  Это мой муж.
[155.89s -> 159.89s]  Из-за огромного количества всяких проблем с документами.
[159.89s -> 162.89s]  И мы решили, что в Колумбии всё будет проще.
[162.89s -> 167.89s]  В Колумбии нету регистрации, в Колумбии нету вот этих вот прописок, вот этого всего.
[167.89s -> 168.89s]  Мы же просто приехали.
[168.89s -> 170.89s]  Система здравоохранения.
[170.89s -> 171.89s]  А здесь...
[171.89s -> 174.89s]  Не, кстати, там очень хорошая система здравоохранения.
[174.89s -> 175.89s]  Очень хорошая.
