[3.63s -> 6.43s]  ДИНАМИЧНАЯ МУЗЫКА
[7.27s -> 12.11s]  ПОЕТ НА ИНОСТРАННОМ ЯЗЫКЕ
[12.11s -> 15.55s]  ПОЕТ НА ИНОСТРАННОМ ЯЗЫКЕ
[15.55s -> 16.55s]  Здрасте.
[16.55s -> 18.31s]  Ё, вы по записи?
[19.15s -> 20.15s]  Чё, ***?
[20.15s -> 23.19s]  Ну, вы на определённое время записывались.
[23.19s -> 27.15s]  Слышь, Фондомос, у тебя у бабушки опять шуртам и кубатые цеплятвы,
[27.15s -> 30.67s]  если он тебя из дома выгнал, то у тебя их не понравилось.
[30.71s -> 34.59s]  Молодой человек, если бы не по записи, то ничё не вместнее.
[34.59s -> 37.67s]  Ты чё несёшь, придурок, *****? Я всё домой пришёл.
[37.67s -> 39.63s]  Вы вообще что... Где этот?
[39.63s -> 43.35s]  Большое спасибо, это был самый лучший массаж в моей жизни.
[43.35s -> 45.67s]  Пожалуйста, возвращайтесь сейчас.
[45.67s -> 48.31s]  Чё, *****? Вы чё тут устроили?
[48.31s -> 50.55s]  Рукоплодник, что ли, устроили, а?
[50.55s -> 54.19s]  Ты чё, я с кинокамеркой, а они тут с перегёргившими...
[54.19s -> 55.19s]  Вы чё, *****?
[55.19s -> 58.39s]  У тебя какой рукоплодник? У нас тут обычный массаж.
[58.39s -> 60.35s]  Какой обычный массаж, *****?
[60.39s -> 61.39s]  Вот иди туда!
[62.19s -> 65.23s]  С пятого подъезда, вот там нормальный такой массаж.
[65.23s -> 68.51s]  Знаю я, такие. Ещё на этом окошке вот эти вот розовые горит.
[68.51s -> 70.91s]  Откуда захочешь, башка кружится начинает.
[70.91s -> 73.03s]  Я не поняла, ты это откуда знаешь.
[73.03s -> 75.39s]  А ты мне давай с темы не съезжай, понятно?
[75.39s -> 77.87s]  Не надо мне с темы съезжать, откуда я знаю.
[77.87s -> 79.19s]  Ты от чё ты тут делал?
[79.19s -> 80.55s]  Я администратор ******.
[80.55s -> 81.55s]  Кто ты?
[81.55s -> 82.55s]  Администратор.
[82.55s -> 85.27s]  Администратор? Ты как вообще сюда взял, *****?
[85.27s -> 88.91s]  Ты его после второго класса выиграл, как он такой администратор?
[88.91s -> 90.31s]  Он пишет цитатку у тебя?
[90.31s -> 91.31s]  Нет?
[91.31s -> 93.39s]  Чё тратку? Чем купил, ******?
[93.39s -> 94.39s]  Давай посмотрим, *****.
[94.39s -> 95.39s]  Давай сюда.
[96.15s -> 97.15s]  Погнали.
[97.79s -> 98.79s]  Чёрт.
[100.11s -> 101.83s]  Вот груши, это чё?
[101.83s -> 102.83s]  Бабы.
[104.87s -> 106.35s]  А гурцет пацаны?
[107.23s -> 109.11s]  Ой, как железные, *****.
[109.11s -> 111.23s]  Завёлочка напротив них, что это?
[111.23s -> 112.23s]  Время.
[112.55s -> 114.23s]  Андрюш, почему время?
[114.23s -> 115.43s]  К пяти.
[115.43s -> 118.47s]  Это как, по твоей логике, к пяти звёздочек?
[118.47s -> 119.75s]  Ну, пять углов.
[119.79s -> 121.79s]  *****, тут вот не ты ебёшься, тут всё понятно.
[121.79s -> 122.79s]  Идём дальше.
[122.79s -> 123.79s]  Ёлка.
[123.79s -> 125.31s]  А, я понял.
[125.31s -> 127.31s]  Это раз, два, три, четыре, пять, шесть, семь.
[127.31s -> 128.31s]  Это к восьми?
[128.31s -> 129.31s]  Нет.
[129.31s -> 130.31s]  К двенадцати.
[131.15s -> 132.51s]  Почему к двенадцати?
[132.51s -> 133.95s]  Ну, Новый год, к двенадцати.
[133.95s -> 135.95s]  Я вообще на чём не понимаю, *****.
[137.15s -> 138.15s]  Вообще, *****.
[138.15s -> 140.95s]  Так, ну ладно тебе, смотри, главное то, что вовремя все приходят.
[140.95s -> 142.23s]  Вот тебе пока не было две недели.
[142.23s -> 145.03s]  Я на массажиста отучилась, а ты даже диплом получила.
[145.03s -> 146.03s]  Я чё?
[146.03s -> 147.03s]  Сейчас на...
[147.75s -> 148.75s]  Учиться что-ли?
[148.87s -> 150.87s]  Вы чё меня разводите, *****?
[150.87s -> 151.87s]  Сколько тебе повторять?
[151.87s -> 152.87s]  У нас обычный массаж.
[152.87s -> 153.87s]  Обычный массаж?
[153.87s -> 155.87s]  Обычный массаж поликлиника делают.
[155.87s -> 157.87s]  Вон, *****, здесь кем?
[157.87s -> 159.87s]  Написано, что здесь есть поликлиника?
[159.87s -> 161.87s]  Нет, не написано.
[161.87s -> 162.87s]  Тогда это это...
[162.87s -> 164.87s]  Слышь, с кинокамерой, иди сюда, смотри.
[164.87s -> 165.87s]  Ой, *****.
[165.87s -> 167.87s]  Росовый свет опять, что-то башка закружилась.
[167.87s -> 169.87s]  Вот, смотри чё.
[169.87s -> 171.87s]  Стол они массажными тут поставили.
[171.87s -> 173.87s]  Типа всё у них тут пофаджую.
[173.87s -> 175.87s]  Это вот туалет из пятого подъезда.
[175.87s -> 177.87s]  Приходишь к ней, а она тебе мотраться на это.
[177.99s -> 180.99s]  Она полкинула, и то радуешься, что хоть и на стяжке лежит.
[180.99s -> 181.99s]  Чё вы тут *****?
[181.99s -> 183.99s]  Ладно, тяп, смотри, давай договоримся так.
[183.99s -> 185.99s]  Если ко мне кто-нибудь придёт,
[185.99s -> 188.99s]  будет наглейте или намекать на вот это вот самое.
[188.99s -> 189.99s]  На чё?
[189.99s -> 191.99s]  Ну, как там показывают.
[191.99s -> 193.99s]  Вот она?
[193.99s -> 196.99s]  Да, то ты ко мне придёшь и совсем разберёшься.
[197.99s -> 199.99s]  Эй, тип, лысый администратор.
[201.99s -> 203.99s]  А я здесь умрёте что-ли буду?
[203.99s -> 204.99s]  Угу.
[205.11s -> 206.11s]  Чё?
[207.11s -> 208.11s]  Батки купала.
[210.11s -> 211.11s]  А тебе ***.
[211.11s -> 212.11s]  Давай-ка внесу твою банану.
[212.11s -> 214.11s]  Чай есть в ледовую?
