[3.76s -> 56.91s]  МУЗЫКАЛЬНАЯ ЗАСТАВКА
[56.91s -> 59.43s]  Всем привет! Друзья, всем привет!
[59.43s -> 63.27s]  С вами арт-механика и я ведущий в шоу Влад Маленко.
[63.27s -> 66.87s]  Со мной моя сведущая из бара... из бара.
[66.87s -> 70.07s]  Знаешь, звучит как испанское? Ведущая из бара.
[70.07s -> 72.87s]  А наша Оленька прекрасная.
[72.87s -> 75.95s]  Она всегда начинает программу коротким стишком.
[75.95s -> 77.95s]  Ну, так вот, за рифмами.
[77.95s -> 82.35s]  Оле, легче скрыть некие такие подколки постоянные в мой адрес.
[82.35s -> 83.87s]  Ведь это так, Ольга?
[84.07s -> 85.07s]  Так?
[85.07s -> 89.35s]  Счастье шаткое и зыбучее, и обманчивое подчас.
[89.35s -> 95.63s]  Если женщина вас не мучает, значит, мучает, но не вас.
[95.63s -> 99.15s]  Ну вот, понимаете, да, друзья, вы сами все видели,
[99.15s -> 102.23s]  стоишь, распинаешься, а Оля, оп, четыре строчки,
[102.23s -> 106.23s]  и ты уже на лопатках, я попробую сейчас тебе ответить.
[106.23s -> 107.23s]  М-м-м!
[107.23s -> 112.15s]  Меня часто женщины мучали, иногда и наоборот.
[112.55s -> 118.95s]  Вроде жизнью я и наученый, но я мученик еще тот.
[118.95s -> 119.95s]  АПЛОДИСМЕНТЫ
[119.95s -> 122.99s]  Что-то я смотрю, нимп просматривается.
[122.99s -> 128.39s]  Ага, нимп. Это не нимп, это так хорошо работают наши мастера по свету.
[128.39s -> 129.39s]  Браво им.
[129.39s -> 131.75s]  Итак, друзья, не будем же мучить вас.
[131.75s -> 134.79s]  Начнем. Сегодня нас ждет отличнейший концерт.
[134.79s -> 136.31s]  Сами в этом убедитесь.
[136.31s -> 141.11s]  А прежде мы разберем одну важную тему в современном искусстве.
[141.19s -> 142.91s]  И эту тему назвали так.
[142.91s -> 146.07s]  Поиск новых форматов.
[146.07s -> 149.63s]  Ведь, казалось бы, все уже давно в искусстве найдено.
[149.63s -> 152.51s]  Просто продолжай делать что-то хорошо.
[152.51s -> 157.47s]  Но нет, искусство, это такая субстанция живая, меняющаяся,
[157.47s -> 161.59s]  развивающая все направления человеческой деятельности.
[161.59s -> 164.35s]  Откуда оно пришло? Куда оно идет?
[164.35s -> 170.47s]  Об этом я и поговорю с медиатором нового артпространства ГЭС-2.
[171.15s -> 173.83s]  Максимом Старичковым! Встречайте!
[173.83s -> 175.35s]  АПЛОДИСМЕНТЫ
[175.35s -> 176.35s]  Максим!
[176.35s -> 177.35s]  Привет!
[182.71s -> 186.99s]  Для меня слово медиатор как-то связан с гитарой.
[186.99s -> 187.99s]  Обязательно.
[187.99s -> 191.91s]  Я даже помню, присутствовал на концерте Инга Мальмсинга.
[191.91s -> 193.43s]  И он там кинул, и вы...
[193.43s -> 194.43s]  Ловили.
[194.43s -> 197.91s]  А что такое в новом времени, в котором мы все живем,
[197.91s -> 200.67s]  и даже не успеваем за ним следить, Максим?
[200.67s -> 203.27s]  Что такое медиатор дома культуры сейчас?
[203.31s -> 207.51s]  Медиация, это действительно, даже если продолжать аналогию с гитарой,
[207.51s -> 210.27s]  это то, что помогает тебе передавать сигнал.
[210.27s -> 212.55s]  Также есть медиация в юриспруденции.
[212.55s -> 216.63s]  Это тоже очень важный момент, когда кто-то разрешает за кого-то спор.
