[3.38s -> 5.38s]  ДИНАМИЧНАЯ МУЗЫКА
[5.38s -> 8.22s]  Я буду калитку. Сначала я ее открою.
[8.22s -> 10.78s]  Вот вам не хватает Сердоболя!
[10.78s -> 16.66s]  В каждом выпуске Женя и Скандарова вместе с гостем посещают города России.
[16.66s -> 19.98s]  Вернуть свои деньги и телефоны они смогут только,
[19.98s -> 21.86s]  если пройдут квест до конца.
[21.86s -> 25.02s]  Сортовало. Город на побережье Ладожского озера,
[25.02s -> 28.50s]  расположенный неподалеку от границы с Финляндией.
[28.50s -> 33.26s]  С 1500-го года Сортовало успело побывать городом трех разных государств.
[33.26s -> 37.90s]  И России. Поэтому Сортовало имеет настоящую историческую ценность
[37.90s -> 39.38s]  и интересное прошлое.
[39.38s -> 42.58s]  Именно тут наши ведущие и начнут свой непростой,
[42.58s -> 46.90s]  но очень интересный путь к званию почетного гражданина Карелии.
[57.40s -> 60.56s]  У-у-у! Это шоу почетный гражданин!
[60.56s -> 63.44s]  Мы в Карелии! Город Сортовало!
[63.44s -> 66.36s]  Меня зовут Женя Скандарова, я ее ведущая.
[66.36s -> 70.60s]  И мой сегодняшний красивый, яркий гость Димасик Красилов.
[71.56s -> 76.44s]  Дима Красилов. Танцор, блогер, пухляж из клипа Little Big.
[76.44s -> 80.68s]  Мы знали, что в Карелии будет вкусно, поэтому пригласили Диму.
[80.68s -> 84.24s]  Сегодня нам с тобой предстоит очень много испытаний,
[84.24s -> 88.56s]  и если мы их пройдем героически, то мы станем почетными гражданами.
[88.56s -> 89.56s]  Сортовало.
[89.56s -> 91.20s]  Тогда нам это не светит.
[91.20s -> 95.08s]  Кстати, интересно, Сортовало вообще склоняется?
[95.08s -> 99.72s]  Типа Сортовалу, Сортовало, Сортовало.
[100.52s -> 101.52s]  Сортовало.
[101.52s -> 104.48s]  Французское Йо. Сортовало.
[104.48s -> 106.48s]  Сортовало.
[107.16s -> 109.72s]  Задание нашлось в кармане.
[109.72s -> 112.60s]  Немножко измятое, но тем не менее.
[112.60s -> 115.00s]  Сегодня вы откроете для себя Карелию
[115.00s -> 118.12s]  и сможете получить звание почетного гражданина,
[118.12s -> 120.40s]  обменяв на него предмет искусства.
[120.40s -> 123.32s]  Отправляетесь на вашу первую точку на такси.
[123.32s -> 126.44s]  В какой момент можно отказаться от этой зачьи?
[126.44s -> 129.40s]  Буквально дай мне день, и можно отказаться.
[129.48s -> 131.48s]  Черт, умеешь уговаривать.
[131.48s -> 134.60s]  Ты знаешь, на самом деле я тебе хочу сказать,
[134.60s -> 138.00s]  очень редко бывает такое, что нас где-то ждет такси.
[138.00s -> 140.96s]  Обычно мы пердолим пешком по всему городу.
[140.96s -> 143.36s]  Скажи честно, это ты изговорился?
[143.36s -> 145.36s]  У меня просто...
[145.36s -> 148.80s]  На самом деле моя отдышка договорилась за все это.
[148.80s -> 153.64s]  И пока мы с тобой здесь, я предлагаю насладиться красотами Карелии.
[153.64s -> 155.64s]  Ого!
[155.64s -> 157.64s]  Ого!
[157.72s -> 159.72s]  Так вот мы где!
[159.72s -> 161.72s]  Офигеть!
[164.35s -> 167.47s]  Так, смотри, я буду проверять каждую ступеньку.
[167.47s -> 169.79s]  Да, только я иду с другой стороны.
[169.79s -> 172.39s]  Конечно, проверяй, это же очень важно.
[172.39s -> 176.59s]  А то навернуться, это будет очень эпичное начало твоего шоу.
[176.59s -> 178.59s]  Ух, так нормально.
[178.59s -> 181.23s]  Смотри, из хорошего нас ждет такси.
[181.23s -> 183.87s]  И из плохого до него нужно пердолить.
[183.87s -> 186.59s]  Поэтому я не понимаю, в чем смысл такси?
[186.63s -> 190.03s]  В том, что до него надо пердолить, все же логично.
[190.03s -> 192.03s]  Мы же в Карелии!
[192.03s -> 194.03s]  Где мы еще такое посмотрим?
[194.03s -> 196.03s]  А вот это красота.
[196.03s -> 198.03s]  Я вижу синенькую машину.
[198.03s -> 200.99s]  Виктор Михайлович 25 лет живет в Карелии,
[200.99s -> 203.79s]  о которой знает немало интересных фактов.
[203.79s -> 206.59s]  И не стесняясь, делится ими с туристами.
[206.59s -> 209.31s]  Ого, то есть вы больше не будем падать?
[209.31s -> 212.47s]  Будем. Внутри машины всегда можно упасть.
[212.47s -> 215.47s]  Согласен, я еще тот падальщик.
[216.19s -> 217.47s]  Здрасте!
[217.47s -> 219.47s]  Добрый день. Здравствуйте.
[219.47s -> 221.47s]  Мы вас ждем, можем ехать.
[221.47s -> 223.47s]  Кстати, а куда мы едем?
[223.47s -> 225.87s]  Сейчас в Донберге пока будем ехать,
[225.87s -> 228.35s]  а мы немножко кое-что расскажу про край.
[228.35s -> 232.51s]  Сортовал осознан в 1632 году.
[232.51s -> 234.51s]  Вот, основан.
[234.51s -> 241.07s]  Раньше назывался Сордовал, затем Сердоболь, сейчас Сортовал.
[241.07s -> 243.95s]  Я так понимаю, мы вернулись к истокам.
[244.03s -> 246.03s]  Ударение должно быть на первый слог.
[246.03s -> 248.03s]  В примеру, Сортавала.
[248.03s -> 251.95s]  Да, технические произношения, ударение на первый слог.
[251.95s -> 255.47s]  Получается, меня зовут Евгения здесь.
[255.47s -> 257.47s]  Они ненормальные, Дмитрий.
[257.47s -> 263.47s]  На протяжении 500 лет Сортавала побывал в трех государствах.
[263.47s -> 266.83s]  Это Финляндия, Швеция и Россия.
[266.83s -> 269.95s]  Ага, расскажите же, ведь в России лучше.
[270.91s -> 276.43s]  Значит, самый крупный водоем в Европе считается Ладовское озеро.
[276.43s -> 278.43s]  Ага.
[278.43s -> 280.43s]  Ты чего, не знал?
[280.43s -> 282.43s]  Вот, с Востока.
[282.43s -> 287.71s]  Горелью омывает Белое море, где популярен рыбный промысел.
[287.71s -> 291.07s]  Вот сидит на скамейке Санберга.
[291.07s -> 293.07s]  Господи, я тебя понимаю.
[293.07s -> 295.07s]  Все, спасибо большое, мы побежали.
[295.07s -> 297.07s]  Всего доброго. До свидания.
[297.07s -> 299.07s]  До приятного аппетита.
[299.39s -> 301.39s]  До встречи.
[301.39s -> 303.39s]  Куда? Куда?
[303.39s -> 305.39s]  В Донсберга! Круто!
[305.39s -> 307.39s]  Господи, как ты это вперед меня сделала?
[307.39s -> 309.39s]  Я очень шустрая девчонка.
[309.39s -> 311.39s]  Я думала, я тебя ударила.
[311.39s -> 313.39s]  СМЕХ
[316.67s -> 318.67s]  Я и здесь была.
[319.87s -> 323.31s]  Карл Густавберг – это первый мэр города Сортавала.
[323.31s -> 325.31s]  Бургомистром он был отличным.
[325.31s -> 328.35s]  Именно при нем в Сортавале появились тротуары
[329.07s -> 331.87s]  Именно в его доме открыт прекрасный ресторан
[331.87s -> 333.87s]  авторской карельской кухни.
[333.87s -> 337.71s]  Людмила Качакова работает в доме Берга с открытия ресторана.
[337.71s -> 340.19s]  Обожает местную кухню, природу Карелии
[340.19s -> 342.19s]  и уже ждет наших участников.
[342.19s -> 344.67s]  К столу вам нужно разгадать кроссворт
[344.67s -> 346.67s]  и отведать блюдо карельской кухни.
[346.67s -> 348.67s]  Главное слово по горизонтали –
[348.67s -> 350.67s]  название следующей точки.
[350.67s -> 352.67s]  Пробуйте блюдо, открывайте букву.
[352.67s -> 354.67s]  Приятного аппетита.
[354.67s -> 357.23s]  Номер два у нас – фамилия хозяина дома.
[357.47s -> 359.47s]  Должны вписать...
[359.47s -> 361.47s]  Где мы находимся? Дом кого мы приехали?
[361.47s -> 363.47s]  Дом...
[363.47s -> 365.47s]  Нам сто раз говорили.
[365.47s -> 367.47s]  Р-мана-ге-берга.
[367.47s -> 369.47s]  Дом Берга.
[369.47s -> 371.47s]  Очень весело.
[371.47s -> 373.47s]  Ого, вы угадали первое слово! Как же это классно!
[373.47s -> 375.47s]  Третье отгадываем.
[375.47s -> 377.47s]  И это не шоколад?
[377.47s -> 379.47s]  Нет. Опять у нас на всяк шоколад.
[379.47s -> 381.47s]  Очень тупые, сластеные.
[381.47s -> 383.47s]  Куда вы сейчас едете?
[383.47s -> 385.47s]  В шоколад.
[385.47s -> 387.47s]  На чем вы едете? На шоколаде.
[387.47s -> 389.47s]  На шоколаде.
[389.47s -> 391.47s]  А что на вас стоит? Шоколад.
[391.47s -> 393.47s]  Для этого нам нужно попробовать
[393.47s -> 395.47s]  что-нибудь. Мы сами можем
[395.47s -> 397.47s]  выбрать? Вы можете выбрать сами.
[397.47s -> 399.47s]  Я хочу рыбу. А я по стопкам.
[399.47s -> 401.47s]  А, можно было?
[401.47s -> 403.47s]  Меня интересует, что здесь за буква.
[403.47s -> 405.47s]  За это я готова съесть рыбку.
[405.47s -> 407.47s]  Можно взять вилочку,
[407.47s -> 409.47s]  можно взять палочку.
[409.47s -> 411.47s]  Можно руками и посмински захавать.
[411.47s -> 413.47s]  Пробуем, угадываем, что это.
