[0.00s -> 12.62s]  ДИНАМИЧНАЯ МУЗЫКА
[12.62s -> 13.62s]  Привет!
[13.62s -> 14.62s]  Привет!
[14.62s -> 15.62s]  Как твоего?
[15.62s -> 16.62s]  Хорошо.
[16.62s -> 17.62s]  А у тебя?
[17.62s -> 18.90s]  У меня тоже хорошо.
[18.90s -> 22.22s]  Я приготовила для тебя вместе с Сергеем сюрприз.
[22.22s -> 24.70s]  Ты представляешь, что это может быть?
[24.70s -> 28.14s]  Мне немного страшно, потому что меня предупредили,
[28.14s -> 30.38s]  что надо взять с собой купальник.
[30.38s -> 34.78s]  И первое, что я спросила, надеюсь, это будет не бассейн с пираньями.
[34.78s -> 38.18s]  Бассейн с пираньями тоже хорошо, но это для бывших.
[38.18s -> 41.30s]  А сюрприз у нас с тобой будет вот какой.
[44.30s -> 45.30s]  Да ладно!
[47.30s -> 49.30s]  Блин, как круто!
[49.30s -> 51.30s]  Да, это наши друзья.
[51.30s -> 53.62s]  В Скоклоне уходит Сусер Бразерс.
[53.62s -> 57.90s]  И сейчас ты идешь переодеваться, и мы встречаемся на инструктаже.
[57.90s -> 58.90s]  Саш, спасибо.
[72.79s -> 73.79s]  Ага.
[73.79s -> 74.79s]  Привет!
[74.79s -> 75.79s]  Привет!
[75.79s -> 76.79s]  Ты тоже вместе.
[77.79s -> 80.79s]  На, тебе подарочек, одну крутую вещь.
[80.79s -> 81.79s]  Спасибо.
[81.79s -> 82.79s]  Круто.
[82.79s -> 83.79s]  Это...
[83.79s -> 84.79s]  Обалдеть.
[84.79s -> 85.79s]  Аля.
[85.79s -> 87.79s]  Да, мы с ней познакомились уже.
[87.79s -> 88.79s]  Привет.
[88.79s -> 89.79s]  Это Вагиня.
[89.79s -> 90.79s]  Вагиня серфа.
[92.79s -> 93.79s]  Класс!
[96.79s -> 97.79s]  Ты сейчас офигеешь.
[97.79s -> 99.79s]  Ну, я даже не представляю.
[99.79s -> 101.79s]  А ты ни разу не пробовала?
[101.79s -> 103.79s]  Нет, это была моя мечта.
[103.79s -> 105.79s]  Видишь, мечты сбываются.
[105.79s -> 108.79s]  Ань, расскажи, пожалуйста, как все будет.
[108.79s -> 109.79s]  Давай.
[109.79s -> 110.79s]  Сейчас расскажу.
[110.79s -> 111.79s]  Ну что?
[111.79s -> 113.79s]  Давай врываться в серфинг.
[113.79s -> 115.79s]  Аккуратненько, комфортненько.
[115.79s -> 116.79s]  С водоворотом.
[116.79s -> 117.79s]  Безупатненько.
[117.79s -> 119.79s]  Итак, встань вдоль вот этой линии.
[119.79s -> 120.79s]  Найди себе линию.
[120.79s -> 122.79s]  Да, это как будто у тебя доска.
[122.79s -> 123.79s]  У нее центр.
[123.79s -> 124.79s]  Поняла?
[124.79s -> 127.79s]  Задняя ножка прямо под 90 градусов к этой линии.
[127.79s -> 128.79s]  По центру.
[128.79s -> 129.79s]  Передняя.
[129.79s -> 131.79s]  Стопой немного развернута вперед.
[131.79s -> 132.79s]  Попу таска такая вот.
[132.79s -> 133.79s]  Поджала под себя.
[133.79s -> 134.79s]  Чуть-чуть.
[134.79s -> 135.79s]  Коленочки мягкие.
[135.79s -> 136.79s]  Давай, включай колени.
[136.79s -> 137.79s]  Да.
[137.79s -> 139.79s]  Коленочка задней ноги немножко выходит вовнутрь.
[139.79s -> 140.79s]  Вес перенеси вперед.
[140.79s -> 141.79s]  Попу подметь вперед.
[141.79s -> 142.79s]  Не стесняйся.
[142.79s -> 143.79s]  Присаживайся.
[143.79s -> 144.79s]  Вот.
[144.79s -> 145.79s]  Отлично.
[145.79s -> 146.79s]  И руки перед собой.
[146.79s -> 147.79s]  Да.
[147.79s -> 148.79s]  Вот.
[148.79s -> 149.79s]  Все.
[149.79s -> 150.79s]  И смотришь перед собой.
[150.79s -> 151.79s]  И все.
[151.79s -> 152.79s]  Ясненько?
[152.79s -> 153.79s]  Да.
[153.79s -> 154.79s]  Пробуем?
[154.79s -> 155.79s]  Да.
[155.79s -> 156.79s]  Давай.
[156.79s -> 157.79s]  Все, к запуску.
[157.79s -> 158.79s]  Готово.
[158.79s -> 159.79s]  Включаю.
[159.79s -> 160.79s]  Ну что, знаешь, что сказать?
[160.79s -> 161.79s]  Передай привет маме.
[161.79s -> 162.79s]  Скажи, что мам, жизнь бывает легко.
[163.79s -> 164.79s]  Вставай.
[165.79s -> 166.79s]  Вставай.
[166.79s -> 167.79s]  Вставай.
[167.79s -> 172.15s]  Вставай.
[172.15s -> 173.15s]  Не боись.
[173.15s -> 177.45s]  Да.
[178.45s -> 184.74s]  И вот так вот она порвалась в счастливую жизнь после
[184.74s -> 185.74s]  адмьюзеров.
[188.74s -> 189.74s]  Вот и где она?
[189.74s -> 190.74s]  Вращает.
[190.74s -> 191.74s]  Вращает.
[192.74s -> 193.74s]  Вот она.
[199.74s -> 200.74s]  Поздравляю.
[203.74s -> 204.74s]  Давай.
[204.74s -> 205.74s]  Давай, краба.
[206.74s -> 207.74s]  Опала.
[207.74s -> 209.74s]  Ну что, с боевым крещением?
[211.74s -> 213.74s]  Как тебе такая психотерапия?
[215.74s -> 216.74s]  Жесть.
[221.17s -> 222.17s]  Мать моя женщина.
[229.71s -> 230.71s]  Нормально?
[231.71s -> 232.71s]  Давай, ты сможешь.
[233.71s -> 234.71s]  Ты сможешь.
[235.71s -> 236.71s]  Ноги.
[236.71s -> 237.71s]  Давай.
[237.71s -> 238.71s]  Ух, ух, ух, ух.
[240.71s -> 242.71s]  Ну нормально вообще получается.
[252.39s -> 253.39s]  Ты едешь.
[254.39s -> 255.39s]  Ты едешь.
[258.98s -> 259.98s]  Ну и все.
[259.98s -> 260.98s]  Прошаренный райдер.
[268.88s -> 269.88s]  Есть.
[270.88s -> 271.88s]  Ты красивая.
[273.88s -> 276.88s]  Everybody, come on.
[286.05s -> 287.05s]  Офигеть.
[287.05s -> 291.13s]  Даже я обязательно могу.
[291.13s -> 292.13s]  Тихо, тихо, тихо.
[292.13s -> 293.13s]  Все хорошо.
[294.13s -> 295.13s]  Молодец.
[295.13s -> 296.13s]  Ни хрена себе.
[296.13s -> 302.28s]  Две секунды.
[302.28s -> 303.28s]  Я постоянно.
[303.28s -> 304.28s]  Давай, мать моя.
[304.28s -> 305.28s]  Молодец.
[306.28s -> 307.28s]  Everybody.
[307.28s -> 308.28s]  Кто чемпион?
[309.28s -> 310.28s]  Мы чемпионы.
[322.77s -> 323.77s]  Спасибо.
[323.77s -> 324.77s]  Руси, давай.
[326.77s -> 328.77s]  Блин, ну ты молодец, потому что я, например, падала
[328.77s -> 329.77s]  только так.
[329.77s -> 331.77s]  Ты заметила, что я быстро учусь?
[331.77s -> 332.77s]  Да.
[332.77s -> 333.77s]  Как ощущения?
[337.77s -> 338.77s]  Я жгу.
[338.77s -> 339.77s]  Как тебе?
[339.77s -> 340.77s]  Встать, Феррида.
[341.77s -> 344.77s]  О, Ферри, вставай вот сюда.
[344.77s -> 345.77s]  Ну что?
[345.77s -> 346.77s]  Каково тебе?
[346.77s -> 347.77s]  Круто.
[347.77s -> 348.77s]  Очень круто.
[348.77s -> 349.77s]  Да, я очень довольна.
[349.77s -> 350.77s]  Спасибо большое.
[350.77s -> 351.77s]  Какие-то эмоции.
[351.77s -> 354.77s]  Вообще расскажи, ты знала, не знала, когда увидела
[354.77s -> 355.77s]  волну.
[355.77s -> 356.77s]  Нет, я не знала вообще.
[356.77s -> 358.77s]  То есть ты когда мне сказала, я думала, как в бизнес-центре
[358.77s -> 359.77s]  может быть волна?
[359.77s -> 360.77s]  Что она несет вообще?
[360.77s -> 361.77s]  Что это за колка?
[363.77s -> 365.77s]  Естественно, у меня было такое, знаешь, легкое недоверие.
[365.77s -> 367.77s]  Что-то это не про меня, это какой-то сон.
[367.77s -> 370.77s]  И поэтому у меня было желание все контролировать.
[370.77s -> 373.77s]  Первый раз, когда я упала, я там руками, я забыла вообще
[373.77s -> 374.77s]  все, что говорила инструктор.
[374.77s -> 377.77s]  Я давай там тормозить всем, чем можно.
[377.77s -> 380.77s]  А потом, во второй момент, я уже поняла, что я могу
[380.77s -> 382.77s]  довериться в первую очередь себе.
[382.77s -> 383.77s]  Я просто отпустила.
[383.77s -> 384.77s]  Думала, блин, будь что будет.
[384.77s -> 387.77s]  И когда я уже встала в третье, я думала, ты это заметила,
[387.77s -> 389.77s]  моя доска, моя волна.
[389.77s -> 390.77s]  Не загрузилась?
[390.77s -> 391.77s]  Да вообще.
[391.77s -> 394.77s]  Слушай, я говорила, наверное, между нами, что я хочу
[394.77s -> 397.77s]  в Австралию и обязательно попробую там серфинг.
[397.77s -> 399.77s]  И я думаю, что я знаю, когда я это сделаю.
[399.77s -> 401.77s]  Как раз мокрые волосы, что-то такое.
[401.77s -> 402.77s]  Да-да-да.
[402.77s -> 403.77s]  Алло.
[403.77s -> 405.77s]  В Австралии нет такого, но несет.
[405.77s -> 407.77s]  Ну, на этом сюрприз не заканчивается.
[407.77s -> 409.77s]  Мы сейчас поедем еще кое-куда.
[409.77s -> 411.77s]  Есть предложения?
[411.77s -> 412.77s]  А предложения?
[412.77s -> 413.77s]  А предложения?
[413.77s -> 415.77s]  У нас предложений на самом деле нет.
[415.77s -> 417.77s]  Мы думали, ты предложил.
[417.77s -> 419.77s]  Ну что, поехали?
[419.77s -> 420.77s]  Поехали.
[420.77s -> 422.77s]  Круто, круто, круто.
[424.77s -> 441.64s]  Ну что, я тебя сегодня привезла в очень крутой шоу-рум,
[441.64s -> 444.64s]  который называется Open House 361.
[444.64s -> 446.64s]  Здесь российские бренды.
[446.64s -> 449.64s]  Все именно в этом шоу-руме.
[449.64s -> 451.64s]  И хочу познакомить тебя с Марией.
[451.64s -> 453.64s]  Это стилист создательной данной бренды.
[453.64s -> 455.64s]  И как ты думаешь, что мы сегодня будем делать?
[455.64s -> 459.64s]  У меня есть подудрение, что реализовывать еще одну мою мечту,
[459.64s -> 461.64s]  чтобы узнать мой стиль.
[461.64s -> 463.64s]  Ну не только узнать свой стиль,
[463.64s -> 468.64s]  а Мария тебе сейчас поможет вообще в принципе подобрать образ
[468.64s -> 471.64s]  и изменить полное восприятие себя.
[471.64s -> 475.64s]  Да, поэтому я предлагаю, например, тебе походить и выбирать самой,
[475.64s -> 481.64s]  а потом в конце мы, точнее Мария сделает детализацию того,
[481.64s -> 484.64s]  что ты выбрала, и уже, мне кажется, либо сама подберет,
[484.64s -> 485.64s]  либо одобрит то, что не подберет.
[485.64s -> 487.64s]  Да, интересно посмотреть, что ты сами сначала выбираете,
[487.64s -> 491.64s]  так как здесь в принципе хорошо многое сидит уже изначально,
[491.64s -> 493.64s]  но хочется посмотреть, что именно вы выберете для себя.
[493.64s -> 497.64s]  А вы знаете сразу такой вопрос, что вы скажете про ее образ сейчас?
[498.64s -> 500.64s]  Ну, есть чем поработать.
[501.64s -> 504.64s]  Смотри, как тебе каково.
[504.64s -> 506.64s]  Нет, я не смогу это одеть.
[506.64s -> 507.64s]  Я сразу же это увидеть.
[507.64s -> 509.64s]  Почему сразу вот я не смогу это одеть?
[509.64s -> 510.64s]  Потому что оно прозрачно.
[510.64s -> 513.64s]  Нет, то это понятно, что ты не голая можешь с ним ходить.
