[0.00s -> 2.68s]  МУЗЫКАЛЬНАЯ ЗАСТАВКА
[2.68s -> 7.12s]  АПЛОДИСМЕНТЫ
[7.12s -> 9.12s]  КРИКИ
[9.12s -> 10.12s]  СМЕХ
[10.12s -> 12.48s]  Да будет вам! Да будет вам!
[12.48s -> 14.48s]  Это алкомафия!
[14.48s -> 17.28s]  Это шоу, где мы объединили два формата.
[17.28s -> 20.24s]  Это барное шоу и игромафия.
[20.24s -> 21.76s]  Мы взяли и взяли.
[21.76s -> 23.88s]  Двои дни досоединили!
[23.88s -> 27.76s]  Я в шоке! Почему до сих пор никто этого не сделал, кроме нас?
[27.76s -> 29.76s]  Объединяйся нашего!
[30.00s -> 31.00s]  Шоу!
[37.06s -> 39.50s]  Это шоу, где шот реально убивает.
[39.50s -> 41.90s]  И вы будете участниками этого шоу.
[41.90s -> 44.62s]  Не надо... Не надо.
[44.62s -> 46.62s]  Никуда она не летела еще.
[46.62s -> 49.90s]  Границы закрыты! Никуда она не летела!
[49.90s -> 52.22s]  Покажите камеру, вот так вылетела.
[52.22s -> 56.18s]  Первый участник, вот он, первый участник уже кричит сам за тебя.
[56.18s -> 58.18s]  Это Антон Истоев!
[58.18s -> 61.74s]  ДИНАМИЧНАЯ МУЗЫКА
[61.74s -> 63.74s]  АПЛОДИСМЕНТЫ
[64.66s -> 67.66s]  Есть его друг, это Женя Тасенков!
[67.66s -> 75.24s]  ДИНАМИЧНАЯ МУЗЫКА
[75.24s -> 78.24s]  Третий участник, Кирилл Лаврухин!
[78.24s -> 83.86s]  ДИНАМИЧНАЯ МУЗЫКА
[83.86s -> 86.86s]  Человек с необычной фамилией, Александр Фукс!
[86.86s -> 92.98s]  Я уверен, это Фуксик.
[92.98s -> 95.50s]  Сказал Семен Голуб причем, да?
[95.50s -> 98.50s]  И человек со стандартной фамилией, Борис Элигер!
[98.50s -> 102.50s]  ДИНАМИЧНАЯ МУЗЫКА
[102.50s -> 106.59s]  Я надеюсь, каждый играл в мафию.
[106.63s -> 108.63s]  Здесь 5 картошек, 5 участников.
[108.63s -> 111.71s]  У нас есть одна мафия, 1 врач и 3 мирные жители.
[111.71s -> 114.35s]  Мирные жители просто чилятся в городе,
[114.35s -> 117.55s]  пытаются выявить, кто же врет им, кто же мафия.
[117.55s -> 119.55s]  Мафия пытается кого-то убить.
[119.55s -> 122.55s]  У нее есть 2 выстрела, чтобы убить человека.
[122.55s -> 124.55s]  Первый выстрел ранит человека.
[124.55s -> 126.99s]  Второй выстрел уже убивает человека.
[126.99s -> 130.99s]  Но есть врач, который может спасти и дать запивон человеку,
[130.99s -> 134.39s]  который считает, что может быть набухан в эту ночь.
[135.35s -> 136.35s]  Кто из вас кто?
[136.35s -> 140.19s]  Самое главное, скрывайте, блефуйте, делайте что угодно.
[140.19s -> 142.39s]  Пожалуйста, еще 3. Раз, два, три!
[142.39s -> 143.39s]  СМЕХ
[143.39s -> 144.79s]  Александр не уносит.
[144.79s -> 147.27s]  У меня все *********** срекция, *****.
[147.27s -> 149.15s]  Александру подкинули что-то.
[149.15s -> 150.55s]  Срекция, замечательно.
[150.55s -> 154.23s]  Посмотрите, как в покере, что у вас за карта, запомните.
[154.23s -> 155.51s]  Корманные семерки.
