[5.36s -> 14.36s]  МУЗЫКАЛЬНАЯ ЗАСТАВКА
[18.36s -> 20.84s]  Добро пожаловать на шоу-аукцион!
[20.84s -> 25.76s]  Шоу, в котором подписчики делают ставки за вещи своего любимого артиста.
[25.76s -> 28.84s]  Сделать ставку может каждый, сидящий в зале.
[28.84s -> 32.16s]  В качестве ставки принимается все, кроме денег.
[32.16s -> 37.16s]  А сейчас я, ведущий этого шоу, Игорь Чехов!
[37.16s -> 39.16s]  Всем привет!
[39.16s -> 41.16s]  ВОСТОРЖЕННЫЕ ВОЗГЛАСЫ
[41.16s -> 45.88s]  ВОСТОРЖЕННЫЕ ВОЗГЛАСЫ
[45.88s -> 51.18s]  ВОСТОРЖЕННЫЕ ВОЗГЛАСЫ
[51.18s -> 53.18s]  ВОСТОРЖЕННЫЕ ВОЗГЛАСЫ
[53.18s -> 55.18s]  ВОСТОРЖЕННЫЕ ВОЗГЛАСЫ
[55.18s -> 59.18s]  Добро пожаловать на аукцион, дамы и господа!
[59.18s -> 63.18s]  Сегодня мы делаем ставки за вещи своего любимого артиста.
[63.18s -> 66.18s]  А кто же у нас в гостях, спросите вы.
[66.18s -> 69.18s]  Каждый этот человек уехал к бабушке на лето.
[69.18s -> 71.18s]  И там и остался.
[71.18s -> 74.18s]  Сегодня в гостях Прохор Шаляпин, друзья!
[74.18s -> 79.41s]  А-я-я-я!
[79.41s -> 82.41s]  Ну что ж, дамы и господа, это шоу-аукцион!
[82.41s -> 84.41s]  И мы начинаем!
[84.41s -> 86.41s]  ВОСТОРЖЕННЫЕ ВОЗГЛАСЫ
[86.41s -> 88.41s]  ВОСТОРЖЕННЫЕ ВОЗГЛАСЫ
[88.41s -> 90.41s]  Прохор Яна Быкей!
[90.41s -> 92.41s]  СМЕХ
[92.41s -> 94.41s]  ВОСТОРЖЕННЫЕ ВОЗГЛАСЫ
[94.41s -> 96.41s]  ВОСТОРЖЕННЫЕ ВОЗГЛАСЫ
[96.41s -> 98.41s]  ВОСТОРЖЕННЫЕ ВОЗГЛАСЫ
[98.41s -> 100.41s]  ВОСТОРЖЕННЫЕ ВОЗГЛАСЫ
[100.41s -> 107.04s]  И как я озвучил ранее, у нас сегодня в гостях легендарий, легендарий...
[107.04s -> 109.04s]  Ма-ма-ма, Прохор Шаляпин, Прохор, привет!
[109.04s -> 111.04s]  Привет!
[111.04s -> 113.04s]  Я сам себе поплотил.
[113.04s -> 115.04s]  Рады тебя видеть, рады тебя видеть.
[115.04s -> 118.04s]  Улыбай. Я этого человека никогда не видел, чтобы он был грустным.
[118.04s -> 120.04s]  Ну, ты же не улыбаешься, так приятно.
[120.04s -> 122.04s]  Если вам приятно, поаплодируйте.
[122.04s -> 124.04s]  СМЕХ
[124.04s -> 126.04s]  Прохор, рады тебя видеть.
[126.04s -> 129.04s]  Мы знаем, что ты принес к нам сегодня некое количество вещей,
