[5.68s -> 8.12s]  МУЗЫКАЛЬНАЯ ЗАСТАВКА
[8.12s -> 25.56s]  Уважаемые зрители, мы продолжаем цикл передач
[25.56s -> 28.48s]  О чем молчат мужчины.
[28.48s -> 32.68s]  И сегодня в гостях у нас Ангелина Дорошенкова.
[32.68s -> 34.08s]  АПЛОДИСМЕНТЫ
[34.08s -> 36.12s]  Стоп, стоп, стоп, стоп, стоп!
[36.12s -> 38.80s]  АКА Элли Брюссон!
[38.80s -> 41.08s]  ВОСТОРЖЕННЫЕ ВОЗГЛАСЫ
[41.08s -> 42.08s]  Вот это знаю!
[42.08s -> 43.08s]  Как-то лучше!
[43.08s -> 44.76s]  Это знаю, это знаю!
[44.76s -> 48.24s]  Диэк, знаете, как ты отнесешься к этому?
[48.28s -> 50.68s]  Знаешь, как надо здесь аплодировать?
[50.68s -> 52.40s]  А так аплодировать надо!
[52.40s -> 53.40s]  Правильно?
[53.40s -> 57.04s]  Я сначала смотрю, Ангелина Дорошенкова в гостях думал,
[57.04s -> 58.80s]  что за человек, не понимаю.
[58.80s -> 60.92s]  А потом Элли Брюссон, господи!
[60.92s -> 63.04s]  А потом крупный план посмотрел, а?
[63.04s -> 64.92s]  Отлично знаю, отлично знаю!
[64.92s -> 67.52s]  А можно объясните мне, что происходит?
[67.52s -> 69.08s]  Оксаночка, конкурент.
[69.08s -> 71.04s]  Ты тоже порно снимаешься?
[71.04s -> 73.48s]  Вот и все! Вот и все!
[73.48s -> 74.48s]  Вот она!
[74.48s -> 77.48s]  Сейчас девчонки поболтают, мы ушки развесим.
[77.64s -> 79.64s]  У нас в гостях порноактриса.
[79.64s -> 82.32s]  Замечательная профессия, интересная.
[82.32s -> 85.20s]  И сегодня мы поэтому и будем разговаривать.
[85.20s -> 86.80s]  Очень просматриваемая.
[86.80s -> 89.32s]  Ангелина, спасибо, что пришла к нам.
[89.32s -> 91.72s]  Так как у нас в гостях порноактриса,
[91.72s -> 93.40s]  я напомню, что у нас подкаст
[93.40s -> 94.72s]  О чем молчат мужчины,
[94.72s -> 98.32s]  где мы с пацанами, с друзьями, с девчонками, с Оксаной,
[98.32s -> 101.24s]  с гостем говорим на какие-то пацанские темы,
[101.24s -> 104.08s]  о которых говорить не принято и так далее.
[104.12s -> 106.32s]  Так как у нас в гостях порноактрис,
[106.32s -> 108.08s]  мы обсудим тему порна.
[108.08s -> 111.08s]  Какое влияние на жизнь порней она оказывает?
[111.08s -> 112.56s]  Да и не только порней.
[112.56s -> 115.56s]  Для начала интересно узнать, кто смотрел?
[115.56s -> 116.56s]  Порно?
