[3.63s -> 6.39s]  ИНТРИГУЮЩАЯ МУЗЫКА
[6.39s -> 7.79s]  Лизон, да как...
[7.79s -> 9.35s]  ГОВОРИТ НА ИНОСТРАННОМ ЯЗЫКЕ
[9.35s -> 10.35s]  Сбирай!
[10.35s -> 11.35s]  Свои!
[12.87s -> 13.87s]  Вещи!
[14.87s -> 17.35s]  Да с тобой даже договорить невозможно,
[17.35s -> 19.67s]  потому что у тебя вещей столько нету!
[19.67s -> 21.79s]  Лизон, да какая хрень, а бритва?
[21.79s -> 23.59s]  Какая одноразовая, что ли?
[23.59s -> 25.99s]  Лизон, да это она для тебя одноразовая,
[25.99s -> 28.31s]  для меня она уже кого-то многоразовая!
[28.31s -> 30.87s]  Лизон, ну извини, ну ******, ну косякнул!
[30.87s -> 33.43s]  Косякнул? Это когда она просто прошла,
[33.43s -> 34.67s]  а я поздоровался!
[34.67s -> 36.47s]  Вот сейчас никуда не уходи!
[36.47s -> 38.67s]  Слушай, оператор, как ты думаешь,
[38.67s -> 40.43s]  если скажу, сестра прокатит?
[40.43s -> 42.35s]  Ты засосал ее, прелюдная!
[42.35s -> 43.35s]  Не прокатит.
[43.35s -> 46.55s]  Лизон, ну вот сейчас, если объяснить, то вот так!
[46.55s -> 50.11s]  Ты даже оправдание нормальное придумать не можешь!
[50.11s -> 52.35s]  Тебе просто лень! Иди на хер отсюда!
[52.35s -> 53.91s]  Лизон, да... Пальчик!
[53.91s -> 54.91s]  Э-э-э!
[54.91s -> 55.91s]  Э!
[55.91s -> 56.91s]  Э!
[56.91s -> 59.75s]  Чего за бытовуха здесь у вас на районе, а?
[59.75s -> 60.75s]  Чего орешься-то?
[60.75s -> 62.67s]  Начальник, да какая бытовуха?
[62.71s -> 66.07s]  Бутовуха, это когда жена алкашка с двумя фингалами,
[66.07s -> 68.51s]  с тришкой коры и в пестром платье ходит.
[68.51s -> 71.79s]  Вот эта бытовуха у нас такая-то хихонький, хаханький.
[71.79s -> 73.95s]  Дверь не обращай внимания, иди там.
[73.95s -> 76.67s]  А что, я не вижу, что вещи в окно вылетают,
[76.67s -> 78.39s]  какие хихонькие, хаханькие?
[78.39s -> 80.75s]  Давай рассказывай, что тут происходит!
[80.75s -> 82.55s]  Ну что, начальник, рассказывай!
[82.55s -> 86.07s]  Ну косякнул, извини, как же, это твоя форма, ну пиздец-ка!
[86.07s -> 87.95s]  Мать, мать, спалил, еще куришь?
[87.95s -> 91.75s]  Ты что, начальник, это очень жестко будете на спальне, нету?
[91.79s -> 94.83s]  Я сейчас другой по пьяни, Алиска все увидела.
[94.83s -> 96.99s]  Ну и короче, вот надо что-то решать,
[96.99s -> 100.03s]  а то в подъезде второй день я не смогу переночевать,
[100.03s -> 102.07s]  почка левая откажет до конца быть.
[102.07s -> 104.23s]  Да я тебе помог, вот я тебе помог бы!
[104.23s -> 107.19s]  Вот я бы тебя оформил в обезьянник, там бы ночевал,
[107.19s -> 109.67s]  но я не могу, у меня там коллапс, битком!
[109.67s -> 112.95s]  Мне еще эти родственники приехали, дома диван сломался,
[112.95s -> 116.83s]  их деть некуда, я их туда всех оформил, все по протоколу и туда.
[116.83s -> 118.15s]  В обезьянник, туда?
[118.15s -> 119.43s]  Да, дом Шабитов.
[119.43s -> 121.23s]  Да ну, так-то нет, наверное.
[122.19s -> 126.35s]  Я тебе сказал, у тебя бытовая техника здесь, ты меня обманываешь, а?
[126.35s -> 127.47s]  Пошел на хер!
[127.47s -> 130.23s]  Начальник, это прям уже коллапс какой-то,
[130.23s -> 132.11s]  бытовая техника, вход, пошла!
[132.11s -> 133.87s]  Я вижу, я вижу, пошли быстрее,
[133.87s -> 137.07s]  у тебя уже стиральная машинка на балкон двигается.
[137.07s -> 140.27s]  Ех, ** твою мать, она вещи не стирала, ** твою мать!
[140.27s -> 142.15s]  Пошли быстрее, что делать-то?
[142.15s -> 145.91s]  Помогать надо, вот вам молоко-плательщика, мне надо помогать.
[145.91s -> 147.31s]  Платил коммуналку по раз.
[147.31s -> 151.15s]  Ну вот все, значит, надо помогать, а че будем мириться с твоей дамой?
