[0.00s -> 15.00s]  Музыка
[15.00s -> 19.14s]  Кажется, я их сломал.
[19.14s -> 22.14s]  Они старинные, бабушкин подарок.
[22.14s -> 24.14s]  Хм, сложная задачка.
[24.14s -> 27.14s]  С такой только часовщик справится.
[27.14s -> 31.14s]  Тут понадобятся не только специальные инструменты, но и знания.
[31.14s -> 33.14s]  А обратимся, как истории.
[35.14s -> 38.14s]  Вы находитесь в восьмом веке в Китае.
[38.14s -> 40.14s]  Какой-то непонятный механизм.
[40.14s -> 42.14s]  Совсем не похож на часы.
[42.14s -> 44.14s]  Не, нам такой не подходит.
[44.14s -> 47.14s]  Тут ни цифербаты, ни кукушки, один целовей.
[47.14s -> 50.14s]  Артур, ну давай поближе к нашим дням.
[51.14s -> 53.14s]  Вот, XIV век.
[53.14s -> 57.14s]  О всех крупных городах Европы появились башни с часами.
[57.14s -> 59.14s]  Вот это часики.
[59.14s -> 63.14s]  Артур, эти огромные часы нам не подходят.
[63.14s -> 66.14s]  В наших кукушку кукуют, а эти звонят.
[66.14s -> 68.14s]  Хорошо.
[68.14s -> 70.14s]  Вот вам часы с кукушкой.
[70.14s -> 74.14s]  Ого, прямо один в один наши часики.
[74.14s -> 78.14s]  Лиза, они, кажется, тоже не ходят.
[78.14s -> 80.14s]  Потому что починки ждут.
[80.14s -> 81.14s]  А вы как тут?
[81.14s -> 84.14s]  У нас часы сломались, а как починить не знаем.
[84.14s -> 86.14s]  Ха, удачно зашли.
[86.14s -> 88.14s]  Вот вместе и починим.
[88.14s -> 90.14s]  Какие маленькие.
[90.14s -> 91.14s]  Мал да удал.
[91.14s -> 94.14s]  Это настоящие часовые инструменты.
[95.14s -> 97.14s]  Все такое мелкое.
[97.14s -> 99.14s]  А вот стекло увеличительное.
[100.14s -> 102.14s]  Ого, а пыли.
[102.14s -> 105.14s]  Прямо как у тебя, Макс, под кровать.
[106.14s -> 108.14s]  Вот теперь порядочек.
[108.14s -> 110.14s]  Вижу поломку, цепочка соскочила.
[113.14s -> 117.14s]  И капелька масла, чтоб справно ходили и звон совершали.
[118.14s -> 120.14s]  Ха, и батарейки им не нужны.
[120.14s -> 123.14s]  Скажи мне, Отрак, а что есть батарейки?
[123.14s -> 126.14s]  Батарейка это такая штучка для механизмов.
[126.14s -> 129.14s]  В следующий раз прихватим парочку с собой.
[129.14s -> 131.14s]  Вот и дружили, Отраки.
[131.14s -> 133.14s]  Я ведь император-новатор.
[133.14s -> 135.14s]  Люба, мне все новенькое.
[135.14s -> 140.48s]  Вы что, инструменты у Петра украли?
[140.48s -> 143.48s]  Нет, что ты, он сам нам дал.
[143.48s -> 145.48s]  А мы обещали вернуть.
[146.48s -> 157.85s]  Ну вот, теперь вы освоили редкую в наше время профессию часовщика.
[157.85s -> 159.85s]  А почему редкая?
[159.85s -> 163.85s]  Потому что появились электронные часы на батарейках.
[163.85s -> 167.85s]  Жаль, а мне понравилось ремонтировать и чистить механизмы.
[167.85s -> 169.85s]  Чтоб все было как новенькое.
[169.85s -> 173.85s]  Ну, раз ты так любишь чистоту, то подмети по своей кровати.
[173.85s -> 176.85s]  Вот этим инструментом.
[181.85s -> 184.85s]  Редактор субтитров А.Синецкая
[184.85s -> 187.85s]  Корректор А.Кулакова
