[0.50s -> 10.50s]  МУЗЫКАЛЬНАЯ ЗАСТАВКА
[14.19s -> 18.19s]  Дамы и господа, добро пожаловать на шоу-аукцион.
[18.19s -> 23.19s]  Шоу, в котором подписчики делают ставки за вещи своего любимого артиста.
[23.19s -> 26.19s]  Сделать ставку может каждый сидящий в зале.
[26.19s -> 29.19s]  В качестве ставки принимается все, кроме денег.
[29.19s -> 34.19s]  Помогу вам сделать я, ведущий этого шоу, Игорь Чехов!
[34.19s -> 36.19s]  Здравствуйте, друзья!
[36.19s -> 38.19s]  Доброе здравие, господа!
[38.19s -> 41.19s]  Рад приветствовать всех всех всех гостей,
[41.19s -> 47.19s]  всех смотрящих шоу-аукцион на просторах отечественных интернетов, друзья!
[47.19s -> 51.19s]  Ну что ж, леди джентльмены, добро пожаловать на шоу-аукцион.
[51.19s -> 54.19s]  У нас сегодня в гостях легендарный человек,
[54.19s -> 57.19s]  человек, шпагатый которого видел даже сам Кадыров.
[57.19s -> 62.19s]  Ваши аплодисменты, Анастасия Павлович-Колова!
[63.19s -> 65.19s]  Легенда, Анастасия!
[65.19s -> 68.19s]  Добрый вечер, здравствуйте!
[68.19s -> 71.19s]  Вы меня так высокопарно представили.
[71.19s -> 73.19s]  Кто меня видел там в шпагате?
[73.19s -> 74.19s]  А кто только не видел?
[74.19s -> 77.19s]  Так в том-то и дело, кто только не видел, понимаете?
[77.19s -> 79.19s]  Я живу в шпагате, я даже сплю в шпагате.
[79.19s -> 81.19s]  У меня такое ощущение.
[81.19s -> 84.19s]  И тот факт, что я сплю в шпагате,
[84.19s -> 87.19s]  понимаете, мне не могут простить очень многие женщины.
[87.19s -> 89.19s]  Почему? Они завидуют?
[89.19s -> 93.19s]  Да, вы знаете, да, так и есть.
[93.19s -> 97.19s]  Поэтому вы одного человека называете, а тут, вы понимаете, все.
[97.19s -> 99.19s]  Мужчины кончают, а женщины завидуют.
[99.19s -> 101.19s]  Ну а что мне поделать?
[101.19s -> 102.19s]  Мы все, мы все.
[102.19s -> 105.19s]  Это сверхзадача нашей сегодняшней передачи, ребята.
[105.19s -> 108.19s]  Вы знаете, то, что я балерина всея Руси, вы не сказали.
[109.19s -> 111.19s]  Я сейчас переговорю.
[111.19s -> 113.19s]  Балерина всея Руси.
[120.19s -> 124.19s]  Послушай, ты это можешь сделать шпагат только руками.
[124.19s -> 125.19s]  Нет, не правда.
[125.19s -> 126.19s]  А я ногами.
[126.19s -> 128.19s]  Я просто, кстати, тоже сажусь на шпагат, и у меня вопрос.
[128.19s -> 130.19s]  До коли я смогу это делать?
[130.19s -> 131.19s]  До какого возраста?
[131.19s -> 133.19s]  До какого коли? До цискаризмы?
[134.19s -> 136.19s]  Ну до коли явно, явно.
[136.19s -> 137.19s]  Тебе далеко?
[137.19s -> 140.19s]  Передвигаться не очень удобно, я пробовал, честно говоря.
[140.19s -> 141.19s]  До коли тебе далеко?
[141.19s -> 143.19s]  До вас я могу, до вас я могу дойти.
[143.19s -> 144.19s]  До коли, согласен.
[145.19s -> 146.19s]  Куда мне, до цискаризмы?
[146.19s -> 148.19s]  Ну я и благо, я не стремлюсь к этому, Анастасия.
[148.19s -> 150.19s]  Можешь на ты со мной общаться совершенно спокойно?
[150.19s -> 152.19s]  Мне кажется, что мы еще молодые, хорошие люди.
