[0.69s -> 113.17s]  ДИНАМИЧНАЯ МУЗЫКА
[113.17s -> 627.34s]  МУЗЫКАЛЬНАЯ ЗАСТАВКА
[871.49s -> 920.92s]  СПОКОЙНАЯ МУЗЫКА
[920.92s -> 1181.83s]  СПОКОЙНАЯ МУЗЫКА
[1181.83s -> 1211.71s]  СПОКОЙНАЯ МУЗЫКА
[1211.71s -> 1241.59s]  СПОКОЙНАЯ МУЗЫКА
[1241.59s -> 1271.47s]  СПОКОЙНАЯ МУЗЫКА
[1271.47s -> 1288.35s]  СПОКОЙНАЯ МУЗЫКА
[1288.35s -> 2047.93s]  СПОКОЙНАЯ МУЗЫКА
[2047.93s -> 2395.50s]  СПОКОЙНАЯ МУЗЫКА
[2395.50s -> 2442.34s]  СПОКОЙНАЯ МУЗЫКА
[2442.34s -> 2490.68s]  СПОКОЙНАЯ МУЗЫКА
[2490.68s -> 2744.33s]  СПОКОЙНАЯ МУЗЫКА
