[0.00s -> 1.80s]  МУЗЫКАЛЬНАЯ ЗАСТАВКА
[1.80s -> 10.39s]  Бодис-бодислам!
[10.39s -> 11.39s]  Привет всем!
[11.39s -> 13.39s]  Это шоу «Алка-мафия».
[13.39s -> 16.07s]  Шоу, где шот реально убивает.
[16.07s -> 19.79s]  Мы взяли игру мафию и объединили с барным шоу.
[19.79s -> 22.31s]  Как до этого никто раньше не задумался?
[22.31s -> 23.31s]  Мы все в шоке!
[23.31s -> 24.31s]  АПЛОДИСМЕНТЫ
[24.31s -> 25.31s]  Понятно вам!
[25.31s -> 26.31s]  Мы в шоке!
[26.31s -> 27.31s]  АПЛОДИСМЕНТЫ
[27.31s -> 28.83s]  Меня зовут Семен Голубь,
[28.83s -> 31.83s]  я буду барменом и ведущим сегодняшним вечером.
[31.83s -> 39.54s]  Пять участников готовы биться за 5 тысяч рублей
[39.54s -> 43.54s]  и доказать, что они могут лгать так, как никто другой.
[43.54s -> 44.54s]  Представим же их!
[44.54s -> 49.98s]  Борис Илигер!
[49.98s -> 50.98s]  Алексей Соловьев!
[50.98s -> 51.98s]  АПЛОДИСМЕНТЫ
[51.98s -> 57.47s]  Автон Дюл, Георг Бияни!
[57.47s -> 58.47s]  АПЛОДИСМЕНТЫ
[58.47s -> 63.26s]  Алексей Кузнецов!
[63.26s -> 64.26s]  АПЛОДИСМЕНТЫ
[64.26s -> 69.23s]  И Аркадий Игнатьев!
[69.23s -> 70.23s]  АПЛОДИСМЕНТЫ
[70.23s -> 76.95s]  Парни, вы готовы биться за 5 тысяч рублей сегодня?
[76.95s -> 77.95s]  Да!
[77.95s -> 78.95s]  Вы готовы?
[78.95s -> 79.95s]  Да.
[79.95s -> 80.95s]  В мафию играли хоть раз?
[80.95s -> 81.95s]  Да.
[81.95s -> 83.95s]  Тут будет совсем простая мафия.
[83.95s -> 85.95s]  Я покажу вам правила этой игры.
[85.95s -> 86.95s]  У нас есть 5 карточек.
[86.95s -> 88.95s]  5 участников у вас, правильно?
[88.95s -> 90.95s]  Каждый вытаскивает карточек.
[90.95s -> 91.95s]  У нас есть мафия.
[91.95s -> 92.95s]  Мафия не просто.
[92.95s -> 93.95s]  Это алкомафия.
[93.95s -> 95.95s]  Мафия убивает человека шотом.
[95.95s -> 98.95s]  Она просыпается, указывает на человека,
[98.95s -> 101.95s]  тот, кто будет пить утром этот шотик.
[101.95s -> 103.95s]  Также у нас есть мирный житель.
[103.95s -> 104.95s]  Их три штучки.
[104.95s -> 107.95s]  Они просто тусуются в городе, ничего не делают,
[107.95s -> 109.95s]  пытаются вычислить мафию.
[109.95s -> 111.95s]  Также есть у нас врач.
[111.95s -> 114.95s]  Врач может спасти ночью одного из участников
[114.95s -> 116.95s]  и дать ему запивон,
[116.95s -> 120.95s]  если он чувствует, что его-то набухают сегодня.
[120.95s -> 123.95s]  Ну что же, я мешаю карточке, чтобы вы все это видели.
[123.95s -> 124.95s]  Никаких мухляжей.
[124.95s -> 125.95s]  Похоже на мухлёж.
[125.95s -> 127.95s]  Опять же, мафия...
[127.95s -> 128.95s]  Против часовой тручи.
[128.95s -> 129.95s]  Можно кого-то снять?
[129.95s -> 130.95s]  Погоди секундочку.
[130.95s -> 131.95s]  Ещё.
[131.95s -> 133.95s]  Мафия, кстати, может выстрелить сама в себя
[133.95s -> 135.95s]  и выпить, если она хочет набухаться.
[135.95s -> 136.95s]  Врач...
[136.95s -> 137.95s]  У мафии две жизни.
[137.95s -> 138.95s]  У всех две жизни.
[138.95s -> 140.95s]  То есть ты сразу не вылетаешь,
[140.95s -> 141.95s]  ты получаешь первый шот.
[141.95s -> 143.95s]  Как минимум, мафия должна два раза
[143.95s -> 145.95s]  выстрелить в одного и того же человека,
[145.95s -> 147.95s]  и врач не должен его спасти.
[147.95s -> 149.95s]  Тогда покидает этот участник.
[149.95s -> 150.95s]  Ну что же?
[150.95s -> 152.95s]  Я хотел сказать, что в моей молодости две жизни
[152.95s -> 154.95s]  было только Ухан и Монтана.
[154.95s -> 156.95s]  В твоей молодости?
[156.95s -> 157.95s]  Ах ты, старичок.
[157.95s -> 159.95s]  Погнали, я тебе мою первую.
[159.95s -> 160.95s]  Можно?
[160.95s -> 163.46s]  Я предлагаю, Борис,
[163.46s -> 166.46s]  поскольку ты был первым представленным участником,
[166.46s -> 167.46s]  крутанёшь эту бутылочку,
[167.46s -> 168.46s]  на кого укажет она,
[168.46s -> 170.46s]  тот и расскажет первую историю про бар.
[170.46s -> 171.46s]  Борис!
[171.46s -> 173.46s]  Я прям чувствую, на кого она укажет.
[181.46s -> 182.46s]  Так, смотрите,
[182.46s -> 185.46s]  у этой истории будут более интересные аптайды,
[185.46s -> 186.46s]  чем её финал,
[186.46s -> 189.46s]  потому что финала как такового, невероятного нет.
[189.46s -> 190.46s]  Погоди, Лёха, нормально всё?
[190.46s -> 191.46s]  Уже и пойду.
[191.46s -> 194.46s]  Как-то загрузился Лёха уже немножечко.
[195.46s -> 199.46s]  Значит, мне доводилось греть Андрея Бигуришвиле.
[199.46s -> 201.46s]  Греть – это выступать на разогреве.
[201.46s -> 203.46s]  А я думал, ты его силы прятал.
[203.46s -> 204.46s]  Отлично.
[205.46s -> 206.46s]  Классное шоу.
[208.46s -> 209.46s]  Благодаря тебе.
[209.46s -> 210.46s]  Круто.
[210.46s -> 213.46s]  Короче, и потом Андрей с какой-то своей компанией
[213.46s -> 216.46s]  и позвал меня в числе этой компании.
[216.46s -> 218.46s]  Мы поехали в бар.
[218.46s -> 219.46s]  И, короче говоря, мы поехали в бар,
[219.46s -> 221.46s]  и там шёл футбольный матч.
[221.46s -> 222.46s]  Это был Евро.
[222.46s -> 224.46s]  Я не помню, что был за матч.
[224.46s -> 226.46s]  Англия и Германия игра.
[226.46s -> 227.46s]  Или Германия и Франция.
[227.46s -> 229.46s]  А у него же какие-то две крупные страны.
[229.46s -> 230.46s]  Англия и Германия игра.
[230.46s -> 231.46s]  Я не душнее.
[231.46s -> 232.46s]  Не надо этих.
[232.46s -> 233.46s]  Давай к истории.
[235.46s -> 237.46s]  За девятой класс или за восьмой.
[238.46s -> 240.46s]  У меня таких шуток и рецепт.
[242.46s -> 244.46s]  Выгоняйтесь, что Лёху сразу же.
[244.46s -> 246.46s]  ***, мафия убийцы.
[246.46s -> 248.46s]  А шоу только началось.
[250.46s -> 252.46s]  И, короче, там мы выпивали.
[252.46s -> 254.46s]  Я выпивала какой-то Сидор, по-моему, это был.
[254.46s -> 255.46s]  Да, это был Сидор.
[255.46s -> 256.46s]  Сидор.
[256.46s -> 258.46s]  А рядом был *****.
[259.46s -> 260.46s]  Да, я сомневаюсь.
[260.46s -> 262.46s]  Лёха, расскажешь какую-то историю.
[262.46s -> 264.46s]  Я сомневаюсь.
[264.46s -> 266.46s]  Говорят, спать вроде надо.
[266.46s -> 267.46s]  Я как попугай.
[267.46s -> 268.46s]  Народ, народ.
[268.46s -> 272.46s]  И я, честно, вот именно Сидора не особо фанат этого напитка.
[272.46s -> 274.46s]  Там ещё были какие-то закуски.
[274.46s -> 276.46s]  Сосиски какие-то.
[276.46s -> 278.46s]  И картошка.
[278.46s -> 281.46s]  И просто было интересно вот в такой компании бухать.
[281.46s -> 284.46s]  Никого не смутило, что на баре закуска с сосиски и картошкой.
[284.46s -> 286.46s]  Но это не так уж, как думала.
[286.46s -> 288.46s]  Ну, колбаски какие-то.
[288.46s -> 290.46s]  Ах, извините.
[290.46s -> 292.46s]  Я подумал, что там типа...
[292.46s -> 294.46s]  Ты то есть не запомнил.
[294.46s -> 296.46s]  И то точно было на столе.
[296.46s -> 298.46s]  Ну, одна сосиска. Там была.
[298.46s -> 300.46s]  Я воздержался очень долго.
[300.46s -> 302.46s]  Я прям такой, ладно, не буду.
[302.46s -> 304.46s]  Ты говорил такие шутки.
[304.46s -> 306.46s]  Давайте стоп, все подрочим.
[306.46s -> 308.46s]  И уже нормально, без этих приколов.
[308.46s -> 310.46s]  Расскажем.
[310.46s -> 312.46s]  Тебе понравилось или нет?
[313.46s -> 315.46s]  Так все, нет никакого финалового истории.
[315.46s -> 317.46s]  Все, это вся история?
[317.46s -> 319.46s]  Окопаем Борису, делегеру.
[319.46s -> 321.46s]  Надеюсь, что мы тоже ее вырежем.
[321.46s -> 325.46s]  Калова история, честно говоря.
[325.46s -> 327.46s]  Ну, хорошо история была.
[327.46s -> 329.46s]  Борис, спасибо тебе за историю.
[329.46s -> 331.46s]  Вогнал вас в тоску всех.
[331.46s -> 333.46s]  Но история есть история.
[333.46s -> 335.46s]  Не перепишешь.
[335.46s -> 337.46s]  Предлагаю начать играть в мафию.
[337.46s -> 339.46s]  У вас есть маски, надевайте на глаза.
[339.46s -> 341.46s]  Как говорится, Боря неправильно делал.
[341.46s -> 343.46s]  Крутая поговорка.
[343.46s -> 345.46s]  Ну что же, традиционная фраза.
[345.46s -> 347.46s]  Город засыпает.
[347.46s -> 349.46s]  Надеюсь, что мафия помнит.
[349.46s -> 351.46s]  Просыпается мафия.
[351.46s -> 353.46s]  Аккуратненько мафия проснулась.
[353.46s -> 355.46s]  Мафия должна сделать выбор.
[355.46s -> 357.46s]  Кого же набухать в эту ночь?
[357.46s -> 359.46s]  Хорошо, спасибо мафия.
[359.46s -> 361.46s]  Можно делать чуть менее активно мафия.
[361.46s -> 363.46s]  Спасибо большое, мафия уснула.
[363.46s -> 365.46s]  Просыпается врач.
[365.46s -> 367.46s]  Врач проснулся, боже мой.
[367.46s -> 369.46s]  Вот это интрига, интриг.
[370.46s -> 372.46s]  Хорошо, спасибо большое.
[372.46s -> 374.46s]  Врач сделал выбор, просыпает врач.
[374.46s -> 376.46s]  Теперь, господа, я быстренько
[376.46s -> 378.46s]  расставляю то, что вы заслужили.
[381.46s -> 383.46s]  Город просыпается.
[383.46s -> 385.46s]  Вы можете увидеть перед собой
[385.46s -> 387.46s]  шот.
[387.46s -> 389.46s]  Пока вы не знаете, какой шот алкогольный,
[389.46s -> 391.46s]  какой не алкогольный.
[391.46s -> 393.46s]  Раскрою вам тайну.
[393.46s -> 395.46s]  Сегодня мафия решила
[395.46s -> 397.46s]  пригубить одного человечка.
[397.46s -> 399.46s]  Борис Зелегир.
[399.46s -> 401.46s]  Борис Зелегир, но врач
[401.46s -> 403.46s]  почувствовал издалека
[403.46s -> 405.46s]  и дал тебе за пивот.
[405.46s -> 407.46s]  Хочу сказать, что за историю меня могут убить.
[407.46s -> 409.46s]  Предлагаю вам выпить.
[409.46s -> 411.46s]  Нормально.
[411.46s -> 413.46s]  Обожаю сок.
[413.46s -> 415.46s]  Яблочный.
[415.46s -> 417.46s]  Нет, подождите.
[419.46s -> 421.46s]  Нет, подождите.
[421.46s -> 423.46s]  Надо будет медленно пить в течение дня.
[423.46s -> 425.46s]  Мне прикольно, что для Бори
[425.46s -> 427.46s]  шот это ломгин.
[429.46s -> 431.46s]  Это коктейль.
[431.46s -> 433.46s]  Пока Борис пьет,
[433.46s -> 435.46s]  предлагаю начать обсуждение.
[435.46s -> 437.46s]  Аркаша, начнем с тебя.
[437.46s -> 439.46s]  Кто мафия?
[439.46s -> 441.46s]  Кто ввел себя вызывающим ночью?
[441.46s -> 443.46s]  Кто врач?
[443.46s -> 445.46s]  Смотрите.
[445.46s -> 447.46s]  Пока Аркаша говорит,
[447.46s -> 449.46s]  никто его не перебивайте.
[449.46s -> 451.46s]  Бывает часто, что вы начинаете влезать,
[451.46s -> 453.46s]  спорить.
[453.46s -> 455.46s]  Все опережают события.
[455.46s -> 457.46s]  Смотрите.
[457.46s -> 459.46s]  Либо Боря и мафия и врач.
[461.46s -> 463.46s]  За такую историю он это заслужил.
[465.46s -> 467.46s]  Либо, так и ведущий говорил,
[467.46s -> 469.46s]  меньше активности.
[469.46s -> 471.46s]  Кто у нас тут самый активный?
[471.46s -> 473.46s]  Конечно.
[473.46s -> 475.46s]  Алексей, думаю.
[475.46s -> 477.46s]  Забыл имя Алексея, правильно?
[477.46s -> 479.46s]  Да.
[479.46s -> 481.46s]  Я поэтому считаю, что раз он самый активный,
[481.46s -> 483.46s]  то, скорее всего, он мафия.
[483.46s -> 485.46s]  Врач, я думаю,
[485.46s -> 487.46s]  нутро чует, это Алексей.
[487.46s -> 489.46s]  Он позаботился поотечески о Борисе.
[489.46s -> 491.46s]  И он такой...
[491.46s -> 493.46s]  Он уже запевут.
[493.46s -> 495.46s]  Хорошо.
[495.46s -> 497.46s]  Это просто предположение, догадки всего лишь.
[497.46s -> 499.46s]  Алексей пошел.
[499.46s -> 501.46s]  Я не хочу сказать, что стол шатался ночью-то.
[501.46s -> 503.46s]  Со стороны это у вас стоит.
[505.46s -> 507.46s]  Но стол-то круглый.
[507.46s -> 509.46s]  Стол круглый, да.
[509.46s -> 511.46s]  Так, но доктор
[511.46s -> 513.46s]  это неравнодушный человек Бориса Зигера явно.
[513.46s -> 515.46s]  Ты выглядишь как...
[515.46s -> 517.46s]  Давай тебе сачку налью.
[519.46s -> 521.46s]  Я не знаю, мне нужно
[521.46s -> 523.46s]  в страну отдать свой голос.
[523.46s -> 525.46s]  Пока обсуждаем.
[525.46s -> 527.46s]  Ты можешь сказать, что я считаю, что мафия никто.
[527.46s -> 529.46s]  Автон Дил,
[529.46s -> 531.46s]  слово тебе.
[531.46s -> 533.46s]  Я считаю, что мафия Аркаша.
[535.46s -> 537.46s]  Во!
[537.46s -> 539.46s]  Вот так вот!
[539.46s -> 541.46s]  Мы позовем еще...
[541.46s -> 543.46s]  Как я говорю, человек с моей футболки краткий, сестра таланта.
[543.46s -> 545.46s]  Автон Дил,
[545.46s -> 547.46s]  вопрос какой? Оба уже участника
[547.46s -> 549.46s]  сказали, что Алексей, по их мнению,
[549.46s -> 551.46s]  такой сердобольный, который может помочь.
[551.46s -> 553.46s]  Как ты считаешь? Ты сидишь рядом с ним.
[553.46s -> 555.46s]  Ты чувствуешь от него какую-то благоприятную энергетику?
[555.46s -> 557.46s]  Нет, Боря сам себя лечил
[557.46s -> 559.46s]  у Леши, ну, просто мирный житель.
[559.46s -> 561.46s]  Боря, как еврей, сам себя лечил?
[561.46s -> 563.46s]  Да, безусловно. Их научила история этому.
[563.46s -> 565.46s]  Хорошо.
[565.46s -> 567.46s]  Алексей, да.
[567.46s -> 569.46s]  Дело в том, что ночью
[569.46s -> 571.46s]  я почувствовал запах
[571.46s -> 573.46s]  чапури, и я подумал,
[573.46s -> 575.46s]  это из-за того, что Автон Дил
[575.46s -> 577.46s]  поднял подушку и показал
[577.46s -> 579.46s]  вот так.
[579.46s -> 581.46s]  И у него отсюда пахло.
[581.46s -> 583.46s]  Там еще были просто нотки, понимаешь...
[583.46s -> 585.46s]  Чапури белые?
[585.46s -> 587.46s]  Салугуни.
[587.46s -> 589.46s]  И вина в терапевитровой банке.
[591.46s -> 593.46s]  Поэтому я думаю, что это Автон Дил.
[593.46s -> 595.46s]  А врач, я думаю, что это я.
[597.46s -> 599.46s]  Есть замечание, можно замечание?
[599.46s -> 601.46s]  Пожалуйста.
[601.46s -> 603.46s]  Ты сказал, что запахло, когда он сделал вот так.
[603.46s -> 605.46s]  То есть ты хочешь сказать, что он
[605.46s -> 607.46s]  сделал примерно вот так.
[607.46s -> 609.46s]  А то есть ты хочешь сказать, что настоящий
[609.46s -> 611.46s]  чапури не принесется, да, с другой стороны?
[611.46s -> 613.46s]  Я правильно понимаю, Алексей
[613.46s -> 615.46s]  просто хотел понюхать маленько аркашу
[615.46s -> 617.46s]  и нашел повод, да?
[617.46s -> 619.46s]  Даже если я поднял бы руку, запах
[619.46s -> 621.46s]  ушел бы туда, а не туда.
[621.46s -> 623.46s]  Он отзеркалился и прям в нос, Леха.
[623.46s -> 625.46s]  У меня такой крутой нос, что я могу
[625.46s -> 627.46s]  лететь на запах пирога, как мультик.
[627.46s -> 629.46s]  Хорошо, Борис, ты последний,
[629.46s -> 631.46s]  кто еще не высказался.
[631.46s -> 633.46s]  Во-первых, поскольку я
[633.46s -> 635.46s]  по своему поведению в шоу, я понимаю,
[635.46s -> 637.46s]  что в меня еще будут стрелять, поэтому я оставлю
[637.46s -> 639.46s]  запевоны чуть-чуть.
[639.46s -> 641.46s]  Нет, Боря, запевон только на этот выстрел.
[641.46s -> 643.46s]  Запевон потом. Допивай его сейчас
[643.46s -> 645.46s]  лучше.
[645.46s -> 647.46s]  Тогда вы второй раз аплодисментами из туалета
[647.46s -> 649.46s]  будете встречать человека.
[649.46s -> 651.46s]  Допил.
[653.46s -> 655.46s]  Хорошо, Боря, слово тебе.
[655.46s -> 657.46s]  Хотелось бы отметить, что ночью
[657.46s -> 659.46s]  Семен, будучи ведущим,
[659.46s -> 661.46s]  сказал, что человек, который был
[661.46s -> 663.46s]  в мафии, делал активные движения руками.
[663.46s -> 665.46s]  Это, возможно, я блефовал,
[665.46s -> 667.46s]  не забывай. Это двойная игра.
[667.46s -> 669.46s]  Может, мафия в носу ковырялась?
[669.46s -> 671.46s]  Это будет двойной блеф. Тройной блеф.
[671.46s -> 673.46s]  Может, мафия Аркаша?
[673.46s -> 675.46s]  Может, но подождите.
[675.46s -> 677.46s]  Может, мафия сальтуху сделала?
[677.46s -> 679.46s]  Может, вы будете перебивать в конце концов?
[679.46s -> 681.46s]  Прости, Боря, спасибо.
[681.46s -> 683.46s]  Но как будто бы
