[12.34s -> 16.67s]  СПОКОЙНАЯ МУЗЫКА
[16.67s -> 20.51s]  Вроде на свежем воздухе, а получается, что не на свежем.
[20.51s -> 22.51s]  Пурак, что ли, вообще? Пабло!
[22.51s -> 31.03s]  Собака страшная. Ну-ка, фу от Франчески.
[31.03s -> 33.47s]  Алло! Перекур никто не объявлял.
[33.47s -> 38.15s]  Слышь, отец, а чего у тебя тут соживность с испанскими именами, а?
[38.15s -> 39.63s]  Испанию люблю.
[39.63s -> 42.63s]  Всю жизнь мечтал в Бельбаву побывать.
[42.63s -> 44.91s]  Винца да, может, ему попить.
[44.91s -> 46.63s]  А чего не побывал?
[46.63s -> 51.86s]  Условка у меня.
[52.86s -> 58.06s]  Тут одних чуть не пристрелил за то, что лопатами плохо махали.
[58.06s -> 62.32s]  И много вопросов задавали.
[62.32s -> 65.24s]  Маши, маши, а то в глазах режет.
[75.53s -> 79.01s]  Кисурчик, ну, нужно немножко потерпеть.
[79.01s -> 81.33s]  Выгидет он, делится, все тебе куплю.
[81.33s -> 85.13s]  Помоги ему только мне избавиться от этого участкового.
[85.13s -> 88.69s]  Ты обалдел? Я не буду никого убивать.
[88.69s -> 91.05s]  Никаких убийств.
[91.13s -> 94.81s]  Тут солнце мое. Ну, как ты могла подумать-то такое?
[94.81s -> 99.05s]  Я же совсем о другом тебе хотел сказать.
[99.05s -> 103.86s]  Обыкновенный шантаж.
[103.86s -> 106.38s]  Ты охмуряешь полицейского, тут появляюсь я.
[106.38s -> 109.54s]  Мы это представляем как домогательство и все.
[109.54s -> 111.70s]  Нет участкового.
[111.70s -> 115.54s]  Я что, на проститутку похожа?
[115.54s -> 117.10s]  Ты что, задумался?
[117.10s -> 120.46s]  Кисур, ну, это же все денежка, м?
[123.61s -> 128.53s]  Помнишь, ты хотела на нашу лужайку, на даче, песок смольдев?
[128.53s -> 132.77s]  Так его же нужно сначала там набрать, потом сюда доставить.
[132.77s -> 138.21s]  Потом шезлонги в цвет подобрать и все другое приятное, а главное дорогое.
[138.21s -> 142.05s]  Где его искать должна? По всей деревне?
[142.05s -> 145.61s]  У тебя все получится.
[145.61s -> 147.25s]  Пап, я хотел...
[147.25s -> 149.45s]  Извините.
[149.45s -> 151.01s]  Здрасте.
[151.97s -> 153.61s]  Как дела, дочь?
[153.61s -> 157.45s]  Нормально. Хотела сделать анализ в точных вот, а проверки забыла.
[157.45s -> 162.05s]  Кстати, а ты не знаешь, чем там участковые с Егорычем в лесу заняты?
[162.05s -> 165.39s]  В лесу?
[165.39s -> 169.11s]  Наверное, белки заначку украли, они свидетели ищут.
[171.11s -> 172.75s]  Ну, надеюсь, что ничего страшного.
[172.75s -> 177.73s]  Когда окажется, креститься надо.
[177.73s -> 179.29s]  Ага.
[179.29s -> 181.25s]  Офигеть.
[181.25s -> 183.65s]  Он еще и на медведи катался.
[183.85s -> 185.85s]  А что в суббот с похмелья не такое сделаешь?
[185.85s -> 187.97s]  Слышь, Егорчик, вообще что ли того?
[187.97s -> 189.77s]  Какой картофельный торт для хулива?
[189.77s -> 193.45s]  У меня ноги затекли. Сидим тут дольше, чем я в туалете с телефоном.
[193.45s -> 196.69s]  Начальник, тебе вообще все тяжело. Ты как дышишь-то?
[196.69s -> 198.21s]  Нормально.
[198.21s -> 200.57s]  Смотрите, что нашел вонюм.
[200.57s -> 202.85s]  Эх ты, блин, дай-ка.
[204.57s -> 207.33s]  Да это пукалка детская. Я леща даю опасней.
[207.33s -> 209.33s]  Ладно, давай тогда, если не нравится.
[209.33s -> 210.77s]  Эх, ствол отдали.
[210.77s -> 212.05s]  Дебилом пушки, не игрушки.
[212.05s -> 214.05s]  Тебе тогда он на хрена.
[214.05s -> 215.65s]  Эй, эй, эй, эй.
[215.65s -> 217.65s]  Мужики, давайте только без потерь.
[220.57s -> 222.57s]  Передайте моей семье, что я их люблю.
[222.57s -> 227.93s]  Брат, очнись давай, Яшка.
[227.93s -> 229.93s]  Мне в столовке с грустным лицом сидеть.
[229.93s -> 231.93s]  Ты слушаешь, какой ты молодой я был.
[231.93s -> 233.93s]  Вообще времени нет.
[233.93s -> 235.93s]  Яшка, Яшка молодой.
[235.93s -> 237.93s]  Вставай, яшка.
[237.93s -> 239.93s]  Очнись, очнись, Яшка.
[239.93s -> 241.93s]  Яшка, Яшка, очнись.
[241.93s -> 243.93s]  Очнись, Яшка.
[243.93s -> 245.93s]  Яшка, очнись, Яшка.
[245.93s -> 247.93s]  Яшка, что с тобой, брат, очнись.
[247.93s -> 249.93s]  Алло. Алло.
[249.93s -> 251.93s]  Вообще ничего не ловит. Сундук.
[251.93s -> 253.93s]  Короче, спасай его, как хочешь.
[253.93s -> 255.93s]  Чтобы я вернулся, он живой был.
[255.93s -> 257.93s]  Если нет, твои пятнадцать суток по жизни превратят.
[257.93s -> 259.93s]  Все, я ушел. Связь лови, давай.
[259.93s -> 261.93s]  Почнись, брат. Давай, Яшка, очнись.
[261.93s -> 268.63s]  А я к вам.
[268.63s -> 270.63s]  Гражданчик, не сейчас. Я там мой город.
[270.63s -> 272.63s]  Сейчас в полуши, в дереве, в делах.
[272.63s -> 274.63s]  Пока там не закончу, меня нет.
[274.63s -> 276.63s]  Калиния пятьдесят четыре.
[276.63s -> 281.22s]  Калиния пятьдесят пять.
[281.22s -> 285.43s]  Здрасте.
[285.43s -> 287.43s]  Здрасте, здрасте.
[287.43s -> 289.43s]  Работника своего, который из города.
[289.43s -> 295.05s]  Отпусти.
[295.05s -> 297.05s]  Чего вдруг?
[297.05s -> 299.05s]  А где волшебная? Пожалуйста.
[299.05s -> 301.05s]  Пожалуйста, зайди в магазин.
[301.05s -> 303.05s]  И забери две бутылки своей любимой.
[303.05s -> 305.05s]  Я приготовила.
[305.05s -> 307.05s]  Допустим, договорились.
[307.05s -> 309.05s]  Ну и отлично. И передай ему,
[309.05s -> 311.05s]  чтобы в восемнадцать ноль-ноль он был в администрации.
[311.05s -> 313.05s]  Что-то срочное?
[313.05s -> 315.05s]  Чрезвычайно.
[317.05s -> 321.00s]  Ты че?
[321.00s -> 323.00s]  Ты че творишь?
[323.00s -> 325.00s]  На таком вертолете он до дома не долетит?
[327.00s -> 329.00s]  Че, говна ******?
[331.00s -> 333.00s]  Нет, тут прикимарил просто.
[333.00s -> 335.00s]  Мы же все.
[335.00s -> 337.00s]  Дай сюда.
[337.00s -> 339.00s]  Там в администрацию городского просят.
[339.00s -> 346.02s]  Что ж такое-то?
[346.02s -> 348.02s]  Назаров, заняться, что ли, нечем?
[348.02s -> 350.02s]  Че звонишь?
[350.02s -> 355.06s]  Так вы же СМС прислали.
[355.06s -> 357.06s]  Сегодня в области стрельбы были. Мы седьмые.
[357.06s -> 359.06s]  Поздравляю.
[359.06s -> 361.06s]  Вот хотим эту пепперонию заказать.
[361.06s -> 364.44s]  У тебя промокод есть? Нет.
[364.44s -> 366.44s]  Дмитрий Владимирович, подождите, подождите.
[366.44s -> 368.44s]  Тут просто интернет очень плохой.
[368.44s -> 370.44s]  Можно я не буду вам видео отправлять?
[370.44s -> 372.44s]  Давайте как-то голосовыми сообщениями.
[372.44s -> 374.44s]  Только это учти.
[374.44s -> 376.44s]  Я даже через голос унюхаю все.
[376.44s -> 393.51s]  Все понял. До свидания.
[393.51s -> 418.01s]  Ты опоздал.
[418.01s -> 422.60s]  Поэтому придется тебя наказать.
[424.60s -> 426.60s]  Опа.
[426.60s -> 428.60s]  Готов ответить по всей строгости
[428.60s -> 430.60s]  закона.
[430.60s -> 435.06s]  Только я в подштанниках.
[435.06s -> 437.06s]  Ничего.
[437.06s -> 439.06s]  А ты кто вообще?
[439.06s -> 441.06s]  Городской. К шести пришел.
[441.06s -> 445.27s]  Здравствуйте, Катя.
[445.27s -> 447.27s]  Здравствуйте.
[447.27s -> 449.27s]  Здравствуйте.
[449.27s -> 451.27s]  Как у вас тут все нормально?
[451.27s -> 453.27s]  Я просто вас видел сегодня в заповеднике.
[453.27s -> 455.27s]  Вы, наверное, там гуляли, чистым воздухом дышали, да?
[455.27s -> 457.27s]  Нет.
[457.27s -> 459.27s]  Ну что, у нас везде воздух чистый.
[459.27s -> 461.27s]  Просто у нас в заповеднике обнаружилось загрязнение
[461.27s -> 463.27s]  антропологического характера.
[463.27s -> 465.27s]  Я боюсь, что это может повлиять на популяцию оленей.
[465.27s -> 467.27s]  Поэтому я сейчас проверяю источные воды
[467.27s -> 469.27s]  в поблизости на химические и микробиологические
[469.27s -> 471.27s]  компоненты.
[471.27s -> 473.27s]  Но я все-таки думаю, что это хлорид калия, конечно.
[473.27s -> 475.27s]  А что-то случилось?
[475.27s -> 477.27s]  А, да я там просто сегодня расследование проводился.
[477.27s -> 479.27s]  Вы вот это вот, это все,
[479.27s -> 481.27s]  вообще ни при чем.
[481.27s -> 483.27s]  Ну подождите, что-то серьезное?
[483.27s -> 485.27s]  А, да нет там вообще фигня.
[485.27s -> 487.27s]  Вы лучше расскажите про лес.
[487.27s -> 489.27s]  Не-не, это для расследования.
[489.27s -> 491.27s]  Вот, например, почему об оленях
[491.27s -> 493.27s]  так все пекутся?
[493.27s -> 495.27s]  В общем, у нас в Чуде
[495.27s -> 497.27s]  есть легенда,
[497.27s -> 499.27s]  что души местных жителей переселяются
[499.27s -> 501.27s]  в оленей.
[501.27s -> 503.27s]  Понимаете? То есть оленя
[503.27s -> 505.27s]  это по сути, это наши родственники,
[505.27s -> 507.27s]  наши близкие.
[507.27s -> 509.27s]  Ну, из вас получился бы
[509.27s -> 511.27s]  красивый оленях.
[511.27s -> 513.27s]  Ну, в смысле, не то, что мне оленя нравится,
[513.27s -> 515.27s]  в смысле, как женщина.
[517.27s -> 519.27s]  Это же из папиного кабинета.
[521.27s -> 523.27s]  Да че ты его?
[523.27s -> 525.27s]  Че не так-то, а? Че не так?
[525.27s -> 527.27s]  Как кромку на тебя воняет?
[527.27s -> 529.27s]  Что это полиция?
[529.27s -> 531.27s]  Стоять работает полиция.
[531.27s -> 533.27s]  Папа!
[533.27s -> 535.27s]  Начальник, это она сама мне сначала чикчерик,
[535.27s -> 537.27s]  а потом незаконно динамит в покое ее.
[537.27s -> 539.27s]  Вы неправильно все поняли, товарищи.
[539.27s -> 541.27s]  Это Миланочка совсем другое имела в виду.
[541.27s -> 543.27s]  Пап, она именно это
[543.27s -> 545.27s]  и имела в виду.
[545.27s -> 547.27s]  Как не стыдно?
[549.27s -> 551.27s]  Я Миланочку попросил
[551.27s -> 553.27s]  сам узнать,
[553.27s -> 555.27s]  как в столице,
[555.27s -> 557.27s]  в городах празднуют
[557.27s -> 559.27s]  юбилеи.
[559.27s -> 561.27s]  Хотел широко, масштабно.
[561.27s -> 563.27s]  Сюрприз хотел сделать.
[563.27s -> 565.27s]  Ты же всегда говорил, что эти отмечания
[565.27s -> 567.27s]  это выброшенные деньги.
[567.27s -> 569.27s]  Я понял,
[569.27s -> 571.27s]  что дом это
[571.27s -> 573.27s]  не просто здание, это
[573.27s -> 575.27s]  все чудо.
[575.27s -> 577.27s]  А потом, может, это мой последний юбилей.
[577.27s -> 579.27s]  Папа!
[579.27s -> 581.27s]  А как у вас в городе
[581.27s -> 583.27s]  юбилеи празднуют?
[583.27s -> 585.27s]  Водки надо взять.
[585.27s -> 587.27s]  Очень хорошо, я записываю.
[587.27s -> 589.27s]  Побольше, ящика три, чтоб не бегать.
[589.27s -> 591.27s]  В деревне с закуской
[591.27s -> 593.27s]  проблем не будет.
[593.27s -> 595.27s]  Я могу взять на себя ответственность
[595.27s -> 597.27s]  и приготовить шулюмку.
[597.27s -> 599.27s]  Что это?
[599.27s -> 601.27s]  Суп шулюмка.
[601.27s -> 603.27s]  Это если вы свинью заколите.
[603.27s -> 605.27s]  Что еще?
[605.27s -> 607.27s]  Салют можно на большой организовать.
[607.27s -> 609.27s]  Модели на входе поставить.
[609.27s -> 611.27s]  Они меня не сильно привлекли.
[611.27s -> 613.27s]  Салют это хорошо.
[613.27s -> 615.27s]  Салют я записал.
[615.27s -> 617.27s]  Прекрасно.
[617.27s -> 619.27s]  Спасибо вам большое.
[619.27s -> 621.27s]  Спасибо.
[621.27s -> 623.27s]  Ну, очень помогли.
[623.27s -> 625.27s]  А теперь надо работать.
[625.27s -> 627.27s]  Надо работать.
[627.27s -> 629.27s]  Время рабочее.
[629.27s -> 631.27s]  Это все-таки администрация.
[631.27s -> 633.27s]  А не проходной горд, а?
[633.27s -> 635.27s]  Блин, Яшка!
[637.27s -> 639.27s]  Время!
[639.27s -> 641.27s]  Девятнадцать тридцать два.
[641.27s -> 651.30s]  Проверка суперспособности номер шесть.
[651.30s -> 653.30s]  Яшка, после трампилизаторов
[653.30s -> 655.30s]  новые способности не появляются.
[655.30s -> 657.30s]  Время пропасть.
[657.30s -> 659.30s]  Ладно.
[659.30s -> 661.30s]  Давай.
[661.30s -> 663.30s]  Пойду репольвом записью .
[672.07s -> 674.07s]  Алло.
[674.07s -> 676.07s]  Здравствуйте.
[676.07s -> 678.07s]  Вы знаете, я окончательно составил
[678.07s -> 680.07s]  план действия.
[680.07s -> 682.07s]  И для его реализации
[682.07s -> 684.07s]  нам необходимо много фейерверков.
[684.07s -> 686.07s]  Насколько много?
[686.07s -> 688.07s]  Очень много.
[688.07s -> 691.77s]  А вы знаете, я подумал
[691.77s -> 693.77s]  может нам даже пригодится.
[693.77s -> 695.77s]  Ну, хорошо.
[695.77s -> 697.77s]  К обочине. Времени осталось не так много.
[697.77s -> 711.19s]  Да.
