[0.00s -> 20.05s]  Музыка
[20.05s -> 23.05s]  Привет, Лиза! О, шахматы! Сыграем?
[23.05s -> 25.05s]  Привет, Артур!
[25.05s -> 28.05s]  Ну, Макс, нашел фигурку?
[28.05s -> 32.05s]  Нет, давайте без нее, у нас же еще три слона есть
[32.05s -> 34.05s]  Это не по правилам
[34.05s -> 37.05s]  А давайте его сделаем, он же из дерева, да?
[37.05s -> 40.05s]  Без токаря мы не сможем, Макс
[40.05s -> 41.05s]  А кто это?
[41.05s -> 45.05s]  Это человек, который на токарном станке любую фигурку может сделать
[45.05s -> 48.05s]  Это здорово, но где же мы его найдем?
[48.05s -> 51.05s]  Ну, для начала загляненька в прошлое
[54.05s -> 58.05s]  12 тысяч лет назад изобрели первый токарный станок
[58.05s -> 60.05s]  Хм, похоже на качели
[60.05s -> 63.05s]  И лук зачем-то, а где стрелы?
[63.05s -> 67.05s]  Стрелы не нужны, люди детевой от лука крутили палку
[67.05s -> 69.05s]  и стрелили дырку в камень
[69.05s -> 70.05s]  Дырку?
[70.05s -> 74.05s]  Нет, Артур, не подходит, нам фигурку нужна
[75.05s -> 78.05s]  Позднее в Европе придумали вот такой станок
[78.05s -> 83.05s]  Вода вращала колесо стрелоком, который снимал стружку с бревна
[84.05s -> 87.05s]  Слишком большое бревно для шахматной фигурки
[87.05s -> 90.05s]  Артур, а есть что-нибудь поменьше?
[94.05s -> 97.05s]  Здравствуйте, император Пётр
[97.05s -> 100.05s]  О, славные отоки, приветствую
[100.05s -> 102.05s]  Ого, это вы сами сделали?
[102.05s -> 105.05s]  Самолично, на токарной махине
[105.05s -> 107.05s]  Я ведь резных дел мастер
[107.05s -> 110.05s]  А шахматного слона сможете сделать?
[110.05s -> 112.05s]  Хм, это мне под силу
[112.05s -> 114.05s]  Только ты, девица, брусок подыщи
[114.05s -> 118.05s]  А ты, малец, рукоятку махины вращать будешь
[119.05s -> 129.38s]  Ого, как легко ручка крутится
[129.38s -> 132.38s]  Сия махина сложный механизм
[132.38s -> 135.38s]  Русские мастера её так прихитро собрали
[135.38s -> 139.38s]  Что токарь без сил убережёт и великое художество делает
[143.38s -> 146.38s]  Один в один! А мы так сможем?
[146.38s -> 148.38s]  При желании всё возможно
[148.38s -> 152.38s]  Но сия работа опыта до сноровки требует
[153.38s -> 155.38s]  Спасибо, Ваше Величество
[156.38s -> 159.38s]  Что, Макс, устал?
[159.38s -> 162.38s]  Конечно, такую махину крутить
[162.38s -> 165.38s]  Это потому, что электричества не было
[165.38s -> 168.38s]  Зато теперь включил станок, задал программу
[168.38s -> 171.38s]  И машина сама все детали выточит
[171.38s -> 173.38s]  Здорово!
[173.38s -> 178.14s]  Ну что, Артур, сыграем?
